"UNIDADES CENSALES, SEGÚN TIPO DE UNIDAD, POR ENTIDAD Y MUNICIPIO",,,,,,,CUADRO 1,
,,,,,,,,
ENTIDAD Y  MUNICIPIO ,, UNIDADES DE PRODUCCIÓN,,,, VIVIENDAS CON              ACTIVIDAD AGROPECUARIA, EJIDOS Y COMUNIDADES AGRARIAS,
,,RURALES ,,,URBANAS,,,
,, TOTAL, CON ACTIVIDAD AGROPECUARIA  O FORESTAL,SIN ACTIVIDAD AGROPECUARIA Y FORESTAL,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,ALTEPEXI,  994,  883,  111,  31,  551,*,
,AMIXTLAN, 1 019,  566,  453,*,  203,*,
,AMOZOC, 2 217, 1 710,  507,  13, 1 078,  5,
,AQUIXTLA, 2 238, 1 279,  959,  6,  120,  6,
,ATEMPAN, 4 151, 1 994, 2 157,  120,  512,-,
,ATEXCAL, 1 146,  877,  269,  8,  86,  6,
,ATLIXCO, 4 647, 4 098,  549,  181, 1 280,  31,
,ATOYATEMPAN,  529,  412,  117,  8,  122,*,
,ATZALA,  162,  70,  92,  8,  49,-,
,ATZITZIHUACAN, 2 362, 1 903,  459,  8,  80,  7,
,ATZITZINTLA, 1 340,  978,  362,  6,  127,  4,
,AXUTLA,  233,  118,  115,  6,  67,*,
,AYOTOXCO DE GUERRERO,  879,  847,  32,  8,  320,  5,
,CALPAN, 4 289, 2 000, 2 289,  8,  366,*,
,CALTEPEC, 1 471, 1 334,  137,*,  45,  8,
,CAMOCUAUTLA,  463,  344,  119,  8,  54,*,
,CAXHUACAN,  482,  410,  72,-,  98,*,
,COATEPEC,  232,  175,  57,-,  15,-,
,COATZINGO,  554,  396,  158,  12,  204,*,
,COHETZALA,  308,  236,  72,*,  57,*,
,COHUECAN,  392,  365,  27,-,  118,*,
,CORONANGO, 2 684, 1 944,  740,  9,  408,*,
,COXCATLAN, 1 809, 1 765,  44,  39,  689,  7,
,COYOMEAPAN, 3 375, 2 302, 1 073,  6,  6,  3,
,COYOTEPEC, 1 431,  716,  715,  4,  62,  4,
,CUAPIAXTLA DE MADERO,  847,  571,  276,  8,  241,*,
,CUAUTEMPAN, 1 906, 1 343,  563,  4,  291,*,
,CUAUTINCHAN, 1 569, 1 148,  421,  5,  135,  9,
,CUAUTLANCINGO, 1 545, 1 079,  466,  9,  469,  4,
,CUAYUCA DE ANDRADE, 1 019,  676,  343,  18,  166,  4,
,CUETZALAN DEL PROGRESO, 9 471, 5 876, 3 595,  4,  450,*,
,CUYOACO, 2 089, 1 934,  155,  9,  418,  12,
,CHALCHICOMULA DE SESMA, 4 451, 4 246,  205,  28, 1 141,  24,
,CHAPULCO,  678,  484,  194,  13,  147,*,
,CHIAUTLA, 1 519, 1 103,  416,  35, 1 028,  6,
,CHIAUTZINGO, 3 846, 2 779, 1 067,  16,  249,  6,
,CHICONCUAUTLA, 3 087, 1 940, 1 147,-,  131,*,
,CHICHIQUILA, 4 251, 2 683, 1 568,-,  182,-,
,CHIETLA, 2 512, 2 306,  206,  41, 1 851,  20,
,CHIGMECATITLAN,  344,  79,  265,  4,  117,-,
,CHIGNAHUAPAN, 6 257, 4 934, 1 323,  13, 1 317,  41,
,CHIGNAUTLA, 2 872, 2 012,  860,  13,  492,  3,
,CHILA, 1 142,  601,  541,  11,  279,  3,
,CHILA DE LA SAL,  291,  209,  82,  10,  76,*,
,HONEY, 1 584, 1 248,  336,*,  267,*,
,CHILCHOTLA, 2 045, 1 873,  172,-,  78,*,
,CHINANTLA,  803,  461,  342,  13,  100,  5,
,DOMINGO ARENAS,  710,  635,  75,*,  107,*,
,ELOXOCHITLAN,  947,  947,-,-,  179,*,
,EPATLAN,  525,  295,  230,  16,  175,*,
,ESPERANZA, 1 729, 1 137,  592,-,  555,  9,
,FRANCISCO Z. MENA, 2 554, 1 793,  761,  30, 1 265,  18,
,GENERAL FELIPE ANGELES, 2 500, 2 227,  273,  4,  217,  4,
,GUADALUPE, 1 579, 1 290,  289,  7,  494,*,
,GUADALUPE VICTORIA, 2 527, 1 805,  722,  7,  427,  11,
,HERMENEGILDO GALEANA, 1 614, 1 074,  540,  3,  200,-,
,HUAQUECHULA, 4 440, 3 458,  982,  12,  831,  24,
,HUATLATLAUCA, 2 099,  990, 1 109,-,  265,  6,
,HUAUCHINANGO, 4 748, 3 339, 1 409,  120, 1 691,  4,
,HUEHUETLA, 2 097, 1 769,  328,-,  299,-,
,HUEHUETLAN EL CHICO,  923,  805,  118,  8,  265,  5,
,HUEJOTZINGO, 7 571, 4 463, 3 108,  62,  737,  11,
,HUEYAPAN, 2 264, 1 197, 1 067,  7,  110,-,
,HUEYTAMALCO, 5 759, 3 384, 2 375,  4,  603,  8,
,HUEYTLALPAN, 1 397,  912,  485,-,  25,*,
,HUITZILAN DE SERDAN, 3 289, 2 105, 1 184,-,  63,*,
,HUITZILTEPEC, 1 076,  397,  679,  5,  184,-,
,ATLEQUIZAYAN, 1 210,  592,  618,-,  23,-,
,IXCAMILPA DE GUERRERO,  683,  610,  73,  11,  86,  5,
,IXCAQUIXTLA, 1 368,  809,  559,  6,  203,  5,
,IXTACAMAXTITLAN, 7 274, 5 247, 2 027,*,  151,  23,
,IXTEPEC, 1 414,  962,  452,*,  48,-,
,IZUCAR DE MATAMOROS, 3 744, 3 197,  547,  93, 1 240,  27,
,JALPAN, 2 046, 1 750,  296,*,  657,  8,
,JOLALPAN, 1 696, 1 654,  42,  5,  225,  11,
,JONOTLA,  778,  761,  17,*,  91,*,
,JOPALA, 1 511, 1 016,  495,-,  236,-,
,JUAN C. BONILLA, 1 638,  816,  822,  31,  615,*,
,JUAN GALINDO,  260,  142,  118,  5,  422,-,
,JUAN N. MENDEZ, 1 334,  928,  406,-,  147,  3,
,LAFRAGUA, 2 865, 1 916,  949,  4,  198,  6,
,LIBRES, 3 358, 2 453,  905,  10,  510,  5,
,"MAGDALENA TLATLAUQUITEPEC, LA",  309,  99,  210,-,  16,*,
,MAZAPILTEPEC DE JUAREZ,  563,  473,  90,*,  39,*,
,MIXTLA,  286,  267,  19,*,  26,  3,
,MOLCAXAC, 1 641,  722,  919,*,  89,  4,
,CAÑADA MORELOS, 5 163, 1 863, 3 300,  22,  527,  6,
,NAUPAN, 2 377, 1 397,  980,-,  279,-,
,NAUZONTLA,  518,  506,  12,*,  77,-,
,NEALTICAN, 1 305, 1 010,  295,*,  132,*,
,NICOLAS BRAVO,  868,  551,  317,  12,  167,*,
,NOPALUCAN, 1 854, 1 780,  74,  6,  314,  5,
,OCOTEPEC, 1 375, 1 112,  263,-,  97,*,
,OCOYUCAN, 2 942, 2 442,  500,  21,  454,  7,
,OLINTLA, 2 691, 2 024,  667,-,  97,*,
,ORIENTAL, 1 599, 1 551,  48,  11,  238,  6,
,PAHUATLAN, 3 782, 2 321, 1 461,  11,  686,*,
,PALMAR DE BRAVO, 4 804, 3 585, 1 219,  43, 1 245,  12,
,PANTEPEC, 1 912, 1 794,  118,  7,  451,  13,
,PETLALCINGO, 1 819, 1 188,  631,*,  457,  9,
,PIAXTLA,  721,  568,  153,  4,  193,  5,
,PUEBLA, 11 291, 8 886, 2 405,  80, 2 691,  24,
,QUECHOLAC, 3 596, 3 282,  314,  9,  856,  12,
,QUIMIXTLAN, 3 453, 2 699,  754,-,  152,-,
,RAFAEL LARA GRAJALES,  625,  603,  22,  6,  268,  3,
,"REYES DE JUAREZ, LOS", 1 241, 1 026,  215,  5,  364,  4,
,SAN ANDRES CHOLULA, 3 336, 2 269, 1 067,  74, 1 243,  8,
,SAN ANTONIO CAÑADA,  604,  456,  148,*,  85,*,
,SAN DIEGO LA MESA TOCHIMILTZINGO,  276,  245,  31,  7,  28,  7,
,SAN FELIPE TEOTLALCINGO, 1 773, 1 191,  582,  14,  164,*,
,SAN FELIPE TEPATLAN, 1 032,  766,  266,-,  244,-,
,SAN GABRIEL CHILAC, 1 930, 1 491,  439,  7,  366,  4,
,SAN GREGORIO ATZOMPA,  488,  409,  79,  123,  196,-,
,SAN JERONIMO TECUANIPAN, 2 512, 1 730,  782,-,  160,  4,
,SAN JERONIMO XAYACATLAN, 1 148,  837,  311,  11,  118,  3,
,SAN JOSE CHIAPA,  831,  809,  22,  11,  64,  6,
,SAN JOSE MIAHUATLAN, 2 339, 1 520,  819,  4,  416,  7,
,SAN JUAN ATENCO, 1 662, 1 269,  393,*,  88,  6,
,SAN JUAN ATZOMPA,  661,  75,  586,-,  27,-,
,SAN MARTIN TEXMELUCAN, 6 042, 4 526, 1 516,  169, 2 106,  11,
,SAN MARTIN TOTOLTEPEC,  163,  58,  105,*,  28,-,
,SAN MATIAS TLALANCALECA, 1 995, 1 584,  411,  14,  289,  4,
,SAN MIGUEL IXITLAN,  215,  135,  80,*,  31,-,
,SAN MIGUEL XOXTLA,  511,  494,  17,  8,  136,*,
,SAN NICOLAS BUENOS AIRES, 2 205, 1 856,  349,-,  80,  8,
,SAN NICOLAS DE LOS RANCHOS, 2 114, 1 625,  489,  3,  100,  4,
,SAN PABLO ANICANO,  548,  495,  53,-,  239,  6,
,SAN PEDRO CHOLULA, 1 879, 1 421,  458,  67, 1 306,*,
,SAN PEDRO YELOIXTLAHUACA,  497,  440,  57,  5,  195,*,
,SAN SALVADOR EL SECO, 3 935, 3 321,  614,  10,  399,  3,
,SAN SALVADOR EL VERDE, 2 737, 2 056,  681,  14,  554,  8,
,SAN SALVADOR HUIXCOLOTLA,  940,  777,  163,  7,  263,*,
,SAN SEBASTIAN TLACOTEPEC, 1 794, 1 191,  603,-,  309,*,
,SANTA CATARINA TLALTEMPAN,  468,  114,  354,  8,  59,-,
,SANTA INES AHUATEMPAN, 2 063, 1 062, 1 001,*,  170,-,
,SANTA ISABEL CHOLULA, 1 534, 1 082,  452,*,  156,*,
,SANTIAGO MIAHUATLAN,  894,  653,  241,  31,  422,  3,
,HUEHUETLAN EL GRANDE, 1 689,  974,  715,  17,  157,  11,
,SANTO TOMAS HUEYOTLIPAN,  626,  529,  97,  17,  240,*,
,SOLTEPEC, 1 694, 1 531,  163,  7,  244,  8,
,TECALI DE HERRERA, 1 940, 1 486,  454,  3,  232,  9,
,TECAMACHALCO, 3 935, 3 288,  647,  88, 1 633,  17,
,TECOMATLAN,  580,  377,  203,  5,  188,  3,
,TEHUACAN, 2 707, 2 034,  673,  99, 1 231,  15,
,TEHUITZINGO, 2 311, 1 631,  680,  21,  368,  12,
,TENAMPULCO, 1 131,  980,  151,  25,  278,  8,
,TEOPANTLAN, 1 062,  872,  190,  4,  56,  6,
,TEOTLALCO,  438,  415,  23,*,  24,  4,
,TEPANCO DE LOPEZ, 3 224, 1 867, 1 357,  24,  584,  6,
,TEPANGO DE RODRIGUEZ,  577,  525,  52,*,  125,-,
,TEPATLAXCO DE HIDALGO, 2 018, 1 733,  285,  11,  486,*,
,TEPEACA, 4 849, 3 135, 1 714,  19, 1 380,  21,
,TEPEMAXALCO,  264,  245,  19,-,  13,  3,
,TEPEOJUMA, 1 090,  962,  128,  14,  361,  9,
,TEPETZINTLA, 2 482, 1 458, 1 024,*,  299,*,
,TEPEXCO,  494,  454,  40,  11,  270,  4,
,TEPEXI DE RODRIGUEZ, 3 969, 2 291, 1 678,  19,  320,  8,
,TEPEYAHUALCO, 2 816, 2 630,  186,  8,  338,  13,
,TEPEYAHUALCO DE CUAUHTEMOC,  493,  369,  124,  4,  71,*,
,TETELA DE OCAMPO, 7 016, 3 833, 3 183,  12,  515,*,
,TETELES DE AVILA CASTILLO,  395,  201,  194,  21,  261,-,
,TEZIUTLAN, 3 748, 2 672, 1 076,  24, 1 837,*,
,TIANGUISMANALCO, 1 321,  960,  361,  11,  233,  5,
,TILAPA,  652,  628,  24,  10,  302,  8,
,TLACOTEPEC DE BENITO JUAREZ, 7 067, 4 036, 3 031,  22,  909,  16,
,TLACUILOTEPEC, 3 514, 2 188, 1 326,  3, 1 081,  3,
,TLACHICHUCA, 4 054, 3 730,  324,  5,  627,  24,
,TLAHUAPAN, 3 251, 2 749,  502,  9,  336,  17,
,TLALTENANGO, 1 133,  860,  273,  25,  255,*,
,TLANEPANTLA,  398,  279,  119,  3,  92,*,
,TLAOLA, 3 571, 2 130, 1 441,-,  618,*,
,TLAPACOYA, 1 591, 1 115,  476,  5,  91,  3,
,TLAPANALA, 1 010,  895,  115,*,  300,  6,
,TLATLAUQUITEPEC, 11 280, 6 205, 5 075,  4,  652,*,
,TLAXCO, 1 144,  772,  372,  5,  245,*,
,TOCHIMILCO, 4 366, 2 870, 1 496,  5,  234,  9,
,TOCHTEPEC, 2 184, 1 404,  780,  70,  540,  6,
,TOTOLTEPEC DE GUERRERO,  340,  303,  37,  3,  35,  3,
,TULCINGO,  969,  692,  277,  9,  312,*,
,TUZAMAPAN DE GALEANA, 1 166, 1 149,  17,*,  189,  3,
,TZICATLACOYAN, 1 473,  946,  527,*,  207,  8,
,VENUSTIANO CARRANZA, 1 359, 1 255,  104,  53, 1 365,  12,
,VICENTE GUERRERO, 3 324, 3 272,  52,-,  57,  6,
,XAYACATLAN DE BRAVO,  566,  315,  251,  4,  24,-,
,XICOTEPEC, 4 466, 2 770, 1 696,  53, 1 180,  9,
,XICOTLAN,  289,  219,  70,  3,  10,*,
,XIUTETELCO, 4 530, 3 022, 1 508,  4,  490,  3,
,XOCHIAPULCO, 1 718,  802,  916,-,  44,*,
,XOCHILTEPEC,  717,  386,  331,  10,  152,*,
,XOCHITLAN DE VICENTE SUAREZ, 2 029, 1 345,  684,  3,  397,*,
,XOCHITLAN TODOS SANTOS,  756,  565,  191,  17,  220,  4,
,YAONAHUAC, 1 606,  731,  875,  10,  115,-,
,YEHUALTEPEC, 2 409, 1 589,  820,  41,  551,  7,
,ZACAPALA, 1 220,  668,  552,*,  138,  8,
,ZACAPOAXTLA, 8 886, 4 736, 4 150,  3, 1 229,  7,
,ZACATLAN, 8 494, 6 367, 2 127,  13, 1 700,  18,
,ZAPOTITLAN, 1 123, 1 025,  98,  9,  230,  8,
,ZAPOTITLAN DE MENDEZ, 1 046,  773,  273,  6,  34,-,
,ZARAGOZA,  923,  536,  387,  6,  563,*,
,ZAUTLA, 4 359, 3 039, 1 320,-,  317,  8,
,ZIHUATEUTLA, 1 539, 1 523,  16,-,  449,  7,
,ZINACATEPEC, 1 560,  684,  876,  32,  842,*,
,ZONGOZOTLA, 1 130,  743,  387,  4,  47,*,
,ZOQUIAPAN,  975,  638,  337,  4,  23,  3,
,ZOQUITLAN, 6 604, 2 957, 3 647,-,  209,  3,
QUERETARO,, 56 575, 46 791, 9 784,  456, 21 455,  360,
,AMEALCO DE BONFIL, 7 948, 6 441, 1 507,  7,  461,  20,
,PINAL DE AMOLES, 3 968, 2 787, 1 181,  7,  862,  17,
,ARROYO SECO, 1 538, 1 419,  119,  6,  589,  14,
,CADEREYTA DE MONTES, 5 559, 4 503, 1 056,-,  997,  37,
,COLON, 3 061, 2 716,  345,  30, 1 547,  36,
,CORREGIDORA, 1 429, 1 306,  123,  32, 1 309,  16,
,EZEQUIEL MONTES, 1 249,  903,  346,  75, 1 085,  8,
,HUIMILPAN, 3 137, 2 364,  773,  21, 1 335,  15,
,JALPAN DE SERRA, 2 075, 1 685,  390,  17, 1 417,  7,
,LANDA DE MATAMOROS, 2 217, 1 790,  427,*, 1 430,  3,
,"MARQUES, EL", 3 388, 2 975,  413,  23, 1 725,  34,
,PEDRO ESCOBEDO, 2 867, 2 492,  375,  27, 1 630,  19,
,PEÑAMILLER, 2 273, 2 121,  152,*,  651,  16,
,QUERETARO, 4 220, 3 434,  786,  54, 2 042,  42,
,SAN JOAQUIN,  879,  763,  116,  7,  124,  4,
,SAN JUAN DEL RIO, 7 007, 5 812, 1 195,  106, 2 873,  51,
,TEQUISQUIAPAN, 1 506, 1 291,  215,  31,  954,  11,
,TOLIMAN, 2 254, 1 989,  265,  7,  424,  10,
QUINTANA ROO,, 32 183, 27 786, 4 397,  419, 10 907,  267,
,COZUMEL, 1 702, 1 224,  478,  4,  440,  18,
,FELIPE CARRILLO PUERTO, 7 126, 6 564,  562,  91, 2 052,  55,
,ISLA MUJERES,  388,  282,  106,-,  401,*,
,OTHON P. BLANCO, 14 616, 12 670, 1 946,  227, 5 081,  95,
,BENITO JUAREZ, 1 367,  875,  492,  11, 1 210,  4,
,JOSE MARIA MORELOS, 4 482, 4 102,  380,  65,  837,  62,
,LAZARO CARDENAS, 2 502, 2 069,  433,  21,  886,  32,
SAN LUIS POTOSI,, 161 244, 145 520, 15 724, 1 338, 50 634, 1 263,
,AHUALULCO, 2 611, 2 155,  456,  5,  646,  16,
,ALAQUINES, 1 879, 1 710,  169,  7,  264,  10,
,AQUISMON, 5 722, 5 678,  44,  6,  555,  26,
,ARMADILLO DE LOS INFANTE, 1 056,  871,  185,  7,  197,  7,
,CARDENAS, 1 736, 1 410,  326,  25, 1 410,  6,
,CATORCE, 1 902, 1 466,  436,-,  278,  21,
,CEDRAL, 2 118, 1 842,  276,  12,  359,  30,
,CERRITOS, 2 440, 1 725,  715,  28, 1 280,  18,
,CERRO DE SAN PEDRO,  415,  227,  188,  11,  153,  5,
,CIUDAD DEL MAIZ, 6 399, 5 713,  686,  31, 2 218,  40,
,CIUDAD FERNANDEZ, 3 505, 2 828,  677,  69, 2 120,  12,
,TANCANHUITZ DE SANTOS, 2 476, 2 378,  98,  16,  762,  25,
,CIUDAD VALLES, 5 057, 4 607,  450,  47, 3 479,  57,
,COXCATLAN, 2 353, 2 321,  32,  9,  371,  27,
,CHARCAS, 2 253, 2 003,  250,  13,  590,  26,
,EBANO, 2 815, 2 604,  211,  79, 2 300,  75,
,GUADALCAZAR, 4 605, 4 092,  513,  9,  543,  49,
,HUEHUETLAN, 1 997, 1 949,  48,  4,  444,  12,
,LAGUNILLAS, 1 307, 1 116,  191,  4,  389,  7,
,MATEHUALA, 3 041, 2 862,  179,  44,  587,  41,
,MEXQUITIC DE CARMONA, 6 652, 5 151, 1 501,  6, 1 675,  26,
,MOCTEZUMA, 2 732, 2 493,  239,  24,  454,  30,
,RAYON, 1 906, 1 747,  159,  23,  984,  8,
,RIOVERDE, 7 642, 6 916,  726,  106, 4 268,  55,
,SALINAS, 2 518, 2 429,  89,  8,  242,  11,
,SAN ANTONIO, 1 280, 1 240,  40,  10,  222,  10,
,SAN CIRO DE ACOSTA, 1 811, 1 465,  346,  23,  869,  5,
,SAN LUIS POTOSI, 5 070, 4 026, 1 044,  145, 2 292,  34,
,SAN MARTIN CHALCHICUAUTLA, 3 292, 3 189,  103,  30,  454,  52,
,SAN NICOLAS TOLENTINO, 1 296, 1 107,  189,-,  260,  5,
,SANTA CATARINA, 1 595, 1 464,  131,  3,  302,  6,
,SANTA MARIA DEL RIO, 2 358, 1 999,  359,  16, 2 274,  11,
,SANTO DOMINGO, 2 739, 2 715,  24,-,  41,  25,
,SAN VICENTE TANCUAYALAB, 1 246, 1 224,  22,  48,  901,  22,
,SOLEDAD DE GRACIANO SANCHEZ, 1 502, 1 053,  449,  71,  607,  8,
,TAMASOPO, 3 847, 3 762,  85,  38, 1 455,  22,
,TAMAZUNCHALE, 13 958, 13 903,  55,  38, 1 969,  47,
,TAMPACAN, 1 908, 1 888,  20,  23,  349,  24,
,TAMPAMOLON CORONA, 1 602, 1 571,  31,  20,  469,  33,
,TAMUIN, 3 026, 2 827,  199,  17, 2 521,  61,
,TANLAJAS, 2 030, 1 988,  42,  9,  697,  22,
,TANQUIAN DE ESCOBEDO,  764,  756,  8,  22,  918,  5,
,TIERRANUEVA,  537,  478,  59,  5,  426,*,
,VANEGAS, 1 486, 1 364,  122,  7,  190,  19,
,VENADO, 2 574, 1 928,  646,  13,  469,  18,
,VILLA DE ARRIAGA, 2 033, 1 554,  479,  12,  297,  10,
,VILLA DE GUADALUPE, 2 033, 1 773,  260,  4,  293,  21,
,VILLA DE LA PAZ,  327,  313,  14,  6,  82,  6,
,VILLA DE RAMOS, 4 940, 4 621,  319,  54,  276,  19,
,VILLA DE REYES, 3 045, 2 893,  152,  43, 1 462,  19,
,VILLA HIDALGO, 2 673, 2 473,  200,  4,  194,  28,
,VILLA JUAREZ, 2 678, 2 087,  591,  9,  579,  9,
,AXTLA DE TERRAZAS, 2 936, 2 827,  109,  19,  966,  28,
,XILITLA, 6 762, 6 385,  377,  38, 1 026,  38,
,ZARAGOZA, 1 478, 1 223,  255,  6,  839,  7,
,VILLA DE ARISTA, 1 281, 1 131,  150,  12,  367,  8,
SINALOA,, 117 501, 94 865, 22 636,  993, 95 015, 1 269,
,AHOME, 9 904, 6 919, 2 985,  30, 12 047,  108,
,ANGOSTURA, 6 080, 4 958, 1 122,  13, 1 746,  52,
,BADIRAGUATO, 4 322, 4 214,  108,  27, 1 310,  41,
,CONCORDIA, 2 462, 2 154,  308,  9,  830,  28,
,COSALA, 1 602, 1 430,  172,  30,  649,  31,
,CULIACAN, 19 432, 13 565, 5 867,  171, 16 513,  192,
,CHOIX, 4 142, 3 472,  670,  49, 1 877,  61,
,ELOTA, 4 592, 3 568, 1 024,  68, 1 751,  39,
,ESCUINAPA, 3 205, 2 577,  628,  53, 3 996,  19,
,"FUERTE, EL", 7 007, 5 735, 1 272,  181, 8 197,  104,
,GUASAVE, 14 995, 12 502, 2 493,  78, 18 763,  122,
,MAZATLAN, 3 895, 3 317,  578,  11, 6 407,  45,
,MOCORITO, 6 892, 5 970,  922,  28, 2 240,  78,
,ROSARIO, 4 637, 3 824,  813,  38, 3 748,  50,
,SALVADOR ALVARADO, 2 602, 2 057,  545,  18, 3 273,  17,
,SAN IGNACIO, 3 010, 2 527,  483,  35,  591,  46,
,SINALOA, 12 056, 10 563, 1 493,  108, 4 729,  160,
,NAVOLATO, 6 666, 5 513, 1 153,  46, 6 348,  76,
SONORA,, 51 613, 41 817, 9 796, 1 292, 64 005,  890,
,ACONCHI,  259,  204,  55,  37,  157,*,
,AGUA PRIETA,  498,  393,  105,  4,  647,  6,
,ALAMOS, 3 736, 3 360,  376,  43, 1 048,  81,
,ALTAR,  341,  277,  64,  10,  315,  10,
,ARIVECHI,  327,  288,  39,  10,  83,  3,
,ARIZPE,  633,  539,  94,*,  305,  5,
,ATIL,  105,  92,  13,  4,  82,*,
,BACADEHUACHI,  192,  187,  5,  27,  70,*,
,BACANORA,  344,  252,  92,  4,  99,  4,
,BACERAC,  243,  202,  41,  14,  76,  4,
,BACOACHI,  208,  188,  20,*,  42,  5,
,BACUM, 2 866, 2 588,  278,  61, 2 129,  26,
,BANAMICHI,  211,  178,  33,  3,  176,  3,
,BAVIACORA,  371,  314,  57,  16,  331,*,
,BAVISPE,  279,  238,  41,  3,  108,*,
,BENJAMIN HILL,  175,  89,  86,  4,  561,*,
,CABORCA,  873,  656,  217,  4, 1 283,  76,
,CAJEME, 3 401, 2 801,  600,  116, 12 881,  78,
,CANANEA,  86,  79,  7,  13,  593,  6,
,CARBO,  265,  223,  42,-,  494,*,
,"COLORADA, LA",  451,  425,  26,  10,  94,  6,
,CUCURPE,  281,  249,  32,*,  22,  3,
,CUMPAS,  974,  764,  210,  56,  459,  7,
,DIVISADEROS,  208,  168,  40,*,  31,*,
,EMPALME,  647,  353,  294,  22, 2 440,  20,
,ETCHOJOA, 4 295, 3 591,  704,  69, 6 147,  36,
,FRONTERAS,  710,  600,  110,  5,  213,  9,
,GRANADOS,  133,  126,  7,  52,  66,*,
,GUAYMAS, 2 914, 2 478,  436,  87, 4 779,  51,
,HERMOSILLO, 3 116, 1 929, 1 187,  80, 7 660,  51,
,HUACHINERA,  247,  233,  14,  5,-,*,
,HUASABAS,  253,  204,  49,  6,-,*,
,HUATABAMPO, 3 495, 2 444, 1 051,  39, 5 025,  53,
,HUEPAC,  170,  141,  29,  41,  96,  3,
,IMURIS,  399,  319,  80,-,  485,  6,
,MAGDALENA,  512,  413,  99,  3, 1 016,  8,
,MAZATAN,  241,  228,  13,  6,  178,  3,
,MOCTEZUMA,  449,  320,  129,  6,  455,  3,
,NACO,  68,  64,  4,  5,  425,*,
,NACORI CHICO,  417,  401,  16,  17,  132,  3,
,NACOZARI DE GARCIA,  205,  155,  50,  14,  652,  5,
,NAVOJOA, 3 625, 2 775,  850,  100, 5 354,  46,
,NOGALES,  409,  318,  91,  7,  445,  8,
,ONAVAS,  127,  120,  7,*,  12,*,
,OPODEPE,  421,  345,  76,  48,  359,  5,
,OQUITOA,  140,  106,  34,  6,  24,*,
,PITIQUITO,  342,  239,  103,-,  301,  8,
,PUERTO PEÑASCO,  67,  29,  38,-,  226,  25,
,QUIRIEGO,  650,  586,  64,*,  291,  15,
,RAYON,  203,  181,  22,  24,  145,  4,
,ROSARIO,  786,  710,  76,  6,  240,  18,
,SAHUARIPA, 1 050,  865,  185,  9,  478,  16,
,SAN FELIPE DE JESUS,  101,  92,  9,  6,  43,*,
,SAN JAVIER,  80,  77,  3,  4,  17,*,
,SAN LUIS RIO COLORADO, 1 700, 1 398,  302,  62, 1 272,  41,
,SAN MIGUEL DE HORCASITAS,  272,  255,  17,  14,  132,  4,
,SAN PEDRO DE LA CUEVA,  474,  395,  79,  17,  192,  6,
,SANTA ANA,  678,  430,  248,  3,  685,  8,
,SANTA CRUZ,  210,  171,  39,-,  97,*,
,SARIC,  199,  185,  14,-,  46,  5,
,SOYOPA,  344,  311,  33,*,  67,  6,
,SUAQUI GRANDE,  123,  114,  9,  3,  141,*,
,TEPACHE,  215,  200,  15,  21,  159,*,
,TRINCHERAS,  408,  303,  105,-,  40,  4,
,TUBUTAMA,  323,  289,  34,*,  96,  7,
,URES, 1 213, 1 062,  151,  19,  598,  13,
,VILLA HIDALGO,  355,  292,  63,  20,  151,  4,
,VILLA PESQUEIRA,  463,  379,  84,*,  103,  3,
,YECORA,  652,  579,  73,  8,  185,  8,
,GENERAL PLUTARCO ELIAS CALLES,  385,  258,  127,  4,  251,  31,
TABASCO,, 95 276, 91 461, 3 815, 1 507, 54 487,  761,
,BALANCAN, 6 166, 6 065,  101,  27, 2 465,  54,
,CARDENAS, 9 561, 8 850,  711,  267, 5 462,  63,
,CENTLA, 5 136, 5 119,  17,  115, 2 251,  56,
,CENTRO, 10 714, 10 302,  412,  272, 10 324,  62,
,COMALCALCO, 8 628, 8 174,  454,  106, 5 350,  34,
,CUNDUACAN, 6 414, 6 234,  180,  21, 3 049,  44,
,EMILIANO ZAPATA, 1 080, 1 047,  33,  36,  810,  14,
,HUIMANGUILLO, 12 230, 11 601,  629,  220, 4 601,  110,
,JALAPA, 2 828, 2 781,  47,  9,  805,  21,
,JALPA DE MENDEZ, 5 583, 5 463,  120,  119, 3 542,  29,
,JONUTA, 3 085, 3 069,  16,  9,  624,  36,
,MACUSPANA, 6 770, 6 693,  77,  32, 4 010,  68,
,NACAJUCA, 4 306, 3 768,  538,  76, 3 054,  28,
,PARAISO, 4 388, 4 039,  349,  104, 2 934,  15,
,TACOTALPA, 2 733, 2 693,  40,  23, 1 177,  32,
,TEAPA, 1 504, 1 434,  70,  22, 1 534,  24,
,TENOSIQUE, 4 150, 4 129,  21,  49, 2 495,  71,
TAMAULIPAS,, 96 940, 85 698, 11 242, 1 150, 57 938, 1 371,
,ABASOLO, 2 202, 1 929,  273,  37,  909,  30,
,ALDAMA, 3 845, 3 637,  208,  30, 1 534,  60,
,ALTAMIRA, 2 121, 1 879,  242,  58, 5 516,  34,
,ANTIGUO MORELOS, 1 353, 1 273,  80,  17,  766,  20,
,BURGOS, 1 327, 1 107,  220,-,  155,  20,
,BUSTAMANTE, 1 514, 1 344,  170,  3,  171,  21,
,CAMARGO, 1 308, 1 031,  277,  12,  673,  9,
,CASAS, 1 324, 1 004,  320,*,  129,  26,
,CIUDAD MADERO,-,-,-,  9, 1 773,-,
,CRUILLAS,  577,  437,  140,  8,  126,  6,
