"NÚMERO Y EXISTENCIAS EN VIVIENDAS Y UNIDADES DE PRODUCCIÓN CON GANADO BOVINO,",,,,,,,,,CUADRO 11A,,
"SEGÚN EDAD Y SEXO, POR ENTIDAD Y MUNICIPIO",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ENTIDAD Y MUNICIPIO,,,,,,EDAD,,,,,
,,,,TOTAL,,MENORES DE 1 AÑO,,DE 1 A 3 AÑOS,,,
,,,,,,MACHOS Y HEMBRAS,,MACHOS Y HEMBRAS,,,
,,,,NÚMERO,EXISTENCIAS (CABEZAS),NÚMERO,EXISTENCIAS (CABEZAS),NÚMERO,EXISTENCIAS (CABEZAS),,
,,,,,,,,,,,
,,,,,,,,,,,
,TLALPAN,,,  299, 2 549,  120,  405,  129,  571,,
,XOCHIMILCO,,,  774, 3 953,  300,  763,  246,  717,,
,MIGUEL HIDALGO,,,*,  88,*,-,*,-,,
,VENUSTIANO CARRANZA,,,*,  35,*,  6,*,-,,
DURANGO,,,, 50 343,1 102 045, 32 037, 225 507, 28 017, 260 820,,
,CANATLAN,,, 2 506, 39 593, 1 529, 7 597, 1 340, 8 000,,
,CANELAS,,,  507, 6 837,  365, 1 660,  297, 1 478,,
,CONETO DE COMONFORT,,,  493, 12 371,  405, 2 784,  378, 2 754,,
,CUENCAME,,, 1 843, 39 096, 1 104, 10 777,  786, 7 206,,
,DURANGO,,, 5 420, 103 072, 3 393, 24 650, 2 724, 21 946,,
,GENERAL SIMON BOLIVAR,,,  932, 13 527,  460, 2 424,  424, 2 915,,
,GOMEZ PALACIO,,, 1 010, 82 429,  344, 9 902,  318, 29 629,,
,GUADALUPE VICTORIA,,, 1 084, 15 630,  561, 3 118,  456, 2 848,,
,GUANACEVI,,, 1 188, 29 663,  828, 5 931,  747, 6 720,,
,HIDALGO,,,  934, 49 940,  624, 13 382,  593, 12 072,,
,INDE,,, 1 098, 38 820,  764, 7 526,  741, 10 565,,
,LERDO,,, 1 424, 36 316,  580, 5 936,  484, 11 279,,
,MAPIMI,,,  756, 19 904,  369, 3 872,  334, 4 477,,
,MEZQUITAL,,, 1 904, 34 032, 1 303, 7 451, 1 080, 7 495,,
,NAZAS,,,  915, 9 150,  476, 1 834,  412, 2 236,,
,NOMBRE DE DIOS,,, 1 386, 21 383,  819, 4 003,  699, 4 395,,
,OCAMPO,,, 1 265, 40 444,  887, 7 846,  823, 8 106,,
,"ORO, EL",,, 1 548, 51 082, 1 160, 10 345, 1 115, 11 616,,
,OTAEZ,,,  491, 6 302,  356, 1 460,  323, 1 490,,
,PANUCO DE CORONADO,,, 1 147, 22 208,  716, 4 307,  544, 4 950,,
,PEÑON BLANCO,,,  678, 15 782,  362, 3 106,  340, 4 014,,
,POANAS,,, 1 414, 17 417,  773, 3 680,  682, 3 571,,
,PUEBLO NUEVO,,, 1 691, 21 734, 1 039, 4 432,  934, 4 526,,
,RODEO,,,  983, 17 997,  655, 3 695,  542, 3 574,,
,SAN BERNARDO,,,  965, 25 710,  752, 5 193,  722, 6 141,,
,SAN DIMAS,,, 1 502, 23 142, 1 009, 4 676,  924, 5 147,,
,SAN JUAN DE GUADALUPE,,,  550, 8 517,  384, 1 988,  292, 1 638,,
,SAN JUAN DEL RIO,,, 1 424, 29 600,  927, 5 309,  820, 6 500,,
,SAN LUIS DEL CORDERO,,,  241, 3 837,  142,  731,  118,  742,,
,SAN PEDRO DEL GALLO,,,  407, 14 614,  303, 3 666,  279, 3 501,,
