"UNIDADES DE PRODUCCIÓN CON CULTIVO PRINCIPAL PERENNE, SEGÚN SUPERFICIE, GRADO DE DESARROLLO DE LA PLANTACIÓN ",,,,,,,CUADRO  9,,,,,,
"Y PRODUCCIÓN OBTENIDA, POR CULTIVO PRINCIPAL, ENTIDAD Y MUNICIPIO",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"CULTIVO PRINCIPAL, ENTIDAD Y MUNICIPIO",,,UNIDADADES  DE PRODUCCIÓN,SUPERFICIE,,,PRDODUCCIÓN OBTENIDA (TON),,,,,,
,,,,TOTAL   (HA),PLANTACIONES,,,,,,,,
,,,,,EN DESARROLLO  (HA),EN PRODUCCIÓN (HA),,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ALFALFA,,,,,,,,,,,,,
,"SALTO, EL",,*,  4.00,-,  4.00,  200.00,,,,,,
,SAN JUAN DE LOS LAGOS,,  9,  127.00,  4.00,  123.00, 1 562.67,,,,,,
,SAN JULIAN,,  5,  45.00,-,  45.00,  101.97,,,,,,
,SAN MARTIN HIDALGO,,*,  0.25,-,  0.25,  10.00,,,,,,
,SAN MIGUEL EL ALTO,,*,  2.89,-,  2.89,  5.37,,,,,,
,GOMEZ FARIAS,,  43,  109.75,-,  109.75, 6 035.52,,,,,,
,SANTA MARIA DE LOS ANGELES,,*,  2.00,-,  2.00,  2.68,,,,,,
,SAYULA,,  262, 1 990.00,  25.00, 1 965.00, 105 646.68,,,,,,
,TALA,,  3,  4.00,-,  4.00,  423.84,,,,,,
,TAMAZULA DE GORDIANO,,*,  3.50,-,  3.50,  171.47,,,,,,
,TECALITLAN,,*,  5.00,  5.00,-,-,,,,,,
,TECOLOTLAN,,  4,  2.11,-,  2.11,  228.93,,,,,,
,TECHALUTA DE MONTENEGRO,,  12,  23.50,-,  23.50,  587.69,,,,,,
,TENAMAXTLAN,,*,  0.75,-,  0.75,  4.03,,,,,,
,TEOCALTICHE,,  28,  296.50,  29.00,  267.50, 1 010.96,,,,,,
,TEOCUITATLAN DE CORONA,,  119,  318.62,  1.00,  317.62, 8 566.13,,,,,,
,TEPATITLAN DE MORELOS,,*,  6.50,-,  6.50,  123.44,,,,,,
,TIZAPAN EL ALTO,,  19,  13.00,  0.50,  12.50,  227.29,,,,,,
,TLAJOMULCO DE ZUÑIGA,,  7,  14.13,  1.00,  13.13,  448.68,,,,,,
,TLAQUEPAQUE,,  8,  14.50,-,  14.50,  528.28,,,,,,
,TONILA,,*,  1.00,-,  1.00,  41.29,,,,,,
,TOTATICHE,,*,  0.90,-,  0.90,  6.71,,,,,,
,TOTOTLAN,,  7,  23.48,-,  23.48,  96.61,,,,,,
,TUXCUECA,,*,  1.00,-,  1.00,  64.40,,,,,,
,TUXPAN,,*,  150.00,-,  150.00, 12 000.00,,,,,,
,UNION DE SAN ANTONIO,,  11,  129.00,-,  129.00, 2 433.93,,,,,,
,CIUDAD VENUSTIANO CARRANZA,,  16,  18.93,-,  18.93,  636.35,,,,,,
,VILLA CORONA,,  14,  26.84,  0.51,  26.33, 1 014.29,,,,,,
,VILLA HIDALGO,,*,  4.17,-,  4.17,  32.74,,,,,,
,YAHUALICA DE GONZALEZ GALLO,,  6,  15.00,  1.00,  14.00,  54.97,,,,,,
,ZACOALCO DE TORRES,,  47,  165.13,-,  165.13, 4 556.13,,,,,,
,ZAPOPAN,,  3,  14.25,-,  14.25,  201.26,,,,,,
,ZAPOTLAN DEL REY,,  6,  11.50,-,  11.50,  147.59,,,,,,
,ZAPOTLANEJO,,  3,  7.33,-,  7.33,  42.94,,,,,,
MEXICO,,, 6 225, 9 440.95,  235.83, 9 205.13, 324 834.53,,,,,,
,ACAMBAY,,  3,  1.50,  0.50,  1.00,  5.37,,,,,,
,ACOLMAN,,  510,  452.00,  11.12,  440.89, 17 455.35,,,,,,
,ACULCO,,  7,  3.21,  1.10,  2.11,  17.71,,,,,,
,AMANALCO,,*,  0.01,  0.01,-,-,,,,,,
,AMECAMECA,,  77,  89.12,  0.00,  89.12, 2 095.06,,,,,,
,APAXCO,,  104,  193.68,  2.00,  191.68, 9 149.75,,,,,,
,ATENCO,,  292,  269.43,  3.75,  265.68, 13 148.85,,,,,,
,ATIZAPAN DE ZARAGOZA,,*,  0.50,-,  0.50,  0.21,,,,,,
,ATLACOMULCO,,  4,  1.15,  0.25,  0.90,  8.01,,,,,,
,ATLAUTLA,,*,  1.00,-,  1.00,  0.40,,,,,,
,AXAPUSCO,,*,  1.00,  1.00,-,-,,,,,,
,AYAPANGO,,  7,  8.91,-,  8.91,  452.75,,,,,,
,CAPULHUAC,,*,  1.30,-,  1.30,  5.20,,,,,,
,COACALCO,,  81,  132.00,-,  132.00, 7 109.90,,,,,,
,COATEPEC HARINAS,,*,  0.35,  0.25,  0.10,  3.33,,,,,,
,COCOTITLAN,,*,  2.00,-,  2.00,  23.00,,,,,,
,COYOTEPEC,,  24,  16.84,  0.47,  16.37,  259.90,,,,,,
,CUAUTITLAN,,  265,  642.33,  3.06,  639.28, 17 739.58,,,,,,
,CHALCO,,  263,  466.38,  9.28,  457.11, 10 049.73,,,,,,
,CHIAUTLA,,  198,  172.81,  1.25,  171.56, 6 115.93,,,,,,
,CHICOLOAPAN,,  31,  62.69,  1.00,  61.69,  951.48,,,,,,
,CHICONCUAC,,  128,  77.50,-,  77.50, 1 331.06,,,,,,
,CHIMALHUACAN,,  6,  11.55,  1.65,  9.90,  205.02,,,,,,
,ECATEPEC,,  136,  123.51,  4.02,  119.50, 5 122.94,,,,,,
,HUEHUETOCA,,  57,  226.11,  2.50,  223.61, 4 568.81,,,,,,
,HUEYPOXTLA,,  13,  13.50,  0.50,  13.00,  80.50,,,,,,
,HUIXQUILUCAN,,*,  2.00,-,  2.00,  120.00,,,,,,
,ISIDRO FABELA,,  4,  1.41,  0.20,  1.21,  38.64,,,,,,
,IXTAPALUCA,,  137,  408.42,  1.00,  407.42, 8 534.96,,,,,,
,IXTAPAN DE LA SAL,,*,  1.00,-,  1.00,  0.27,,,,,,
,IXTLAHUACA,,  4,  1.25,-,  1.25,  14.34,,,,,,
,JALATLACO,,*,  1.45,  0.25,  1.20,  10.73,,,,,,
,JALTENCO,,  12,  7.33,  0.25,  7.08,  59.36,,,,,,
,JILOTZINGO,,  15,  6.83,  0.00,  6.83,  288.22,,,,,,
,JOCOTITLAN,,*,  0.50,-,  0.50,  2.15,,,,,,
,JOQUICINGO,,*,  0.00,-,  0.00,  0.14,,,,,,
,JUCHITEPEC,,*,  1.25,-,  1.25,  18.78,,,,,,
,LERMA,,*,  2.89,  2.86,  0.03,  1.54,,,,,,
,MALINALCO,,*,  0.20,-,  0.20,  10.73,,,,,,
,MELCHOR OCAMPO,,  194,  432.24,  17.79,  414.45, 21 214.50,,,,,,
,METEPEC,,  14,  5.18,  0.25,  4.93,  45.52,,,,,,
,NAUCALPAN,,  17,  46.50,  0.25,  46.25,  745.47,,,,,,
,NEXTLALPAN,,  213,  366.53,  10.96,  355.57, 16 976.81,,,,,,
,NICOLAS ROMERO,,  3,  1.38,-,  1.38,  20.09,,,,,,
,"ORO, EL",,*,  1.00,-,  1.00,  32.20,,,,,,
,OTUMBA,,  9,  7.28,  1.05,  6.23,  124.04,,,,,,
,OTZOLOAPAN,,*,  0.50,-,  0.50,  2.15,,,,,,
,OTZOLOTEPEC,,*,  1.50,-,  1.50,  67.09,,,,,,
,OZUMBA,,  6,  5.75,-,  5.75,  258.48,,,,,,
,PAPALOTLA,,  11,  9.25,-,  9.25,  516.45,,,,,,
,"PAZ, LA",,*,  0.50,-,  0.50,  2.68,,,,,,
,POLOTITLAN,,*,  1.20,-,  1.20,  30.75,,,,,,
,RAYON,,*,  2.75,-,  2.75,  21.47,,,,,,
,SAN MARTIN DE LAS PIRAMIDES,,  15,  54.09,  0.75,  53.34,  441.94,,,,,,
,SAN MATEO ATENCO,,  3,  0.75,-,  0.75,  13.15,,,,,,
,SAN SIMON DE GUERRERO,,*,  0.50,-,  0.50,  0.01,,,,,,
,SULTEPEC,,  3,  6.00,  3.00,  3.00,  4.00,,,,,,
,TECAMAC,,  207,  305.80,  20.60,  285.20, 9 248.25,,,,,,
,TEMAMATLA,,*,  40.00,-,  40.00,  26.84,,,,,,
,TEMASCALCINGO,,  3,  1.07,  0.25,  0.82,  7.78,,,,,,
,TEMOAYA,,*,  0.85,-,  0.85,-,,,,,,
,TENANCINGO,,  7,  4.03,  1.00,  3.03,  173.70,,,,,,
,TENANGO DEL AIRE,,*,  0.05,-,  0.05,-,,,,,,
,TENANGO DEL VALLE,,  4,  4.50,  1.00,  3.50,  21.47,,,,,,
,TEOLOYUCAN,,  372,  640.34,  19.23,  621.11, 28 077.47,,,,,,
,TEOTIHUACAN,,  241,  243.17,  22.50,  220.67, 9 136.72,,,,,,
,TEPETLAOXTOC,,  11,  34.85,-,  34.85, 1 100.58,,,,,,
,TEPETLIXPA,,*,  1.05,-,  1.05,  1.62,,,,,,
,TEPOTZOTLAN,,  62,  81.34,  21.43,  59.91, 2 459.14,,,,,,
,TEQUIXQUIAC,,  253,  432.35,  5.45,  426.90, 18 010.93,,,,,,
,TEXCOCO,,  832, 1 174.91,  8.75, 1 166.17, 37 988.50,,,,,,
,TEZOYUCA,,  140,  127.72,  1.25,  126.47, 1 200.64,,,,,,
,TIANGUISTENCO,,*,  1.00,  1.00,-,-,,,,,,
,TLALMANALCO,,  37,  59.23,  14.00,  45.23, 1 216.29,,,,,,
,TOLUCA,,  4,  3.83,-,  3.83,  67.76,,,,,,
,TONATICO,,  7,  2.85,  0.85,  2.00,  9.79,,,,,,
,TULTEPEC,,  301,  518.43,  9.45,  508.98, 17 018.20,,,,,,
,TULTITLAN,,  140,  166.29,-,  166.29, 6 035.09,,,,,,
,VALLE DE BRAVO,,  4,  37.50,  1.42,  36.08,  1.11,,,,,,
,VILLA DEL CARBON,,*,  1.00,-,  1.00,  2.68,,,,,,
,VILLA GUERRERO,,*,  0.81,-,  0.81,  14.93,,,,,,
,XONACATLAN,,*,  0.54,-,  0.54,  6.16,,,,,,
,ZINACANTEPEC,,  3,  15.25,  0.25,  15.00, 1 170.00,,,,,,
,ZUMPAHUACAN,,  5,  3.00,-,  3.00,  0.31,,,,,,
,ZUMPANGO,,  498,  919.06,  18.85,  900.21, 36 604.09,,,,,,
,CUAUTITLAN IZCALLI,,  185,  272.33,  6.25,  266.08, 9 718.00,,,,,,
MICHOACAN,,, 1 732, 3 401.00,  237.62, 3 163.38, 70 761.08,,,,,,
,ACUITZIO,,  3,  1.40,-,  1.40,  47.54,,,,,,
,ALVARO OBREGON,,  372,  739.27,  52.67,  686.60, 13 992.52,,,,,,
,ANGAMACUTIRO,,  15,  12.83,-,  12.83,  216.64,,,,,,
,BRISEÑAS,,  32,  67.00,-,  67.00, 2 580.92,,,,,,
,COALCOMAN DE VAZQUEZ PALLARES,,*,  6.00,  1.00,  5.00,  268.35,,,,,,
,COENEO,,  4,  3.00,-,  3.00,  5.37,,,,,,
,CONTEPEC,,  6,  3.75,-,  3.75,  46.05,,,,,,
,COPANDARO,,  3,  5.50,-,  5.50,  118.67,,,,,,
,CUITZEO,,  43,  61.46,  3.00,  58.46, 1 350.56,,,,,,
,CHARO,,  19,  25.85,  0.50,  25.35,  889.58,,,,,,
,CHAVINDA,,*,  2.00,-,  2.00,  64.40,,,,,,
,CHERAN,,*,  1.00,-,  1.00,  16.10,,,,,,
,CHILCHOTA,,  4,  1.48,-,  1.48,  49.88,,,,,,
,CHUCANDIRO,,*,  1.00,-,  1.00,  20.00,,,,,,
,ECUANDUREO,,  5,  5.57,-,  5.57,  41.32,,,,,,
,ERONGARICUARO,,  15,  14.38,  0.55,  13.83,  729.54,,,,,,
,HIDALGO,,  4,  14.75,-,  14.75,  462.63,,,,,,
,HUANDACAREO,,  27,  43.00,  0.50,  42.50,  822.49,,,,,,
,HUIRAMBA,,  9,  14.50,-,  14.50,  64.40,,,,,,
,INDAPARAPEO,,  35,  29.52,  1.50,  28.02,  883.52,,,,,,
,IRIMBO,,*,  0.50,-,  0.50,  32.20,,,,,,
,IXTLAN,,  10,  18.40,-,  18.40,  223.31,,,,,,
,JIMENEZ,,  42,  51.83,  3.50,  48.33,  244.17,,,,,,
,JIQUILPAN,,*,  0.50,-,  0.50,  15.00,,,,,,
,JUNGAPEO,,*,  1.00,-,  1.00,  0.27,,,,,,
,MADERO,,  3,  6.17,-,  6.17,  107.34,,,,,,
,MARAVATIO,,  19,  36.10,  2.35,  33.75,  371.08,,,,,,
,MARCOS CASTELLANOS,,  3,  12.25,-,  12.25,  415.56,,,,,,
,MORELIA,,  37,  81.06,  5.00,  76.06,  627.82,,,,,,
,MORELOS,,*,  0.25,-,  0.25,  3.60,,,,,,
,NOCUPETARO,,*,  2.00,-,  2.00,  37.57,,,,,,
,NUMARAN,,  8,  48.13,  2.00,  46.13,  837.62,,,,,,
,OCAMPO,,*,  0.25,  0.25,-,-,,,,,,
,PAJACUARAN,,  12,  15.75,  1.00,  14.75,  233.08,,,,,,
,PANINDICUARO,,  3,  3.00,-,  3.00,  13.42,,,,,,
,PATZCUARO,,  13,  10.25,-,  10.25,  121.80,,,,,,
,PERIBAN,,  3,  9.50,-,  9.50,  801.61,,,,,,
,"PIEDAD, LA",,  41,  52.67,  2.00,  50.67,  923.78,,,,,,
,PUREPERO,,  8,  20.50,-,  20.50,  752.80,,,,,,
,PURUANDIRO,,  7,  9.75,-,  9.75,  509.12,,,,,,
,QUERENDARO,,  13,  14.25,-,  14.25,  439.29,,,,,,
,QUIROGA,,  14,  10.78,-,  10.78,  169.58,,,,,,
,COJUMATLAN DE REGULES,,  5,  4.75,-,  4.75,  247.09,,,,,,
,"REYES, LOS",,  3,  10.50,-,  10.50,  785.50,,,,,,
,SAHUAYO,,  44,  186.67,  14.00,  172.67, 5 677.86,,,,,,
,SANTA ANA MAYA,,  16,  28.55,  0.70,  27.85,  494.63,,,,,,
,TACAMBARO,,*,  1.25,-,  1.25,  107.61,,,,,,
,TANGANCICUARO,,*,  4.02,-,  4.02,  70.50,,,,,,
,TANHUATO,,  104,  319.80,-,  319.80, 16 996.73,,,,,,
,TARIMBARO,,  432,  825.37,  134.85,  690.52, 4 616.30,,,,,,
,TURICATO,,*,  1.00,-,  1.00,  70.00,,,,,,
,TUXPAN,,*,  2.00,-,  2.00,  53.78,,,,,,
,TZINTZUNTZAN,,  4,  4.44,-,  4.44,  197.15,,,,,,
,URUAPAN,,*,  2.75,-,  2.75,  107.45,,,,,,
,VENUSTIANO CARRANZA,,  21,  77.75,  2.75,  75.00,  468.01,,,,,,
,VILLAMAR,,  9,  13.83,-,  13.83,  361.72,,,,,,
,VISTA HERMOSA,,  13,  36.00,-,  36.00,  758.73,,,,,,
,YURECUARO,,  19,  26.90,-,  26.90,  812.83,,,,,,
,ZACAPU,,  161,  326.52,  2.25,  324.27, 8 268.71,,,,,,
,ZAMORA,,*,  3.50,-,  3.50,  95.14,,,,,,
,ZINAPECUARO,,  24,  47.06,  7.25,  39.81,  374.09,,,,,,
,ZIRACUARETIRO,,  3,  1.37,-,  1.37,  74.40,,,,,,
,ZITACUARO,,  8,  6.64,-,  6.64,  173.17,,,,,,
,JOSE SIXTO VERDUZCO,,  10,  12.18,-,  12.18,  399.21,,,,,,
MORELOS,,,  124,  100.09,  5.32,  94.77, 1 755.06,,,,,,
,AXOCHIAPAN,,  6,  3.55,  0.20,  3.35,  19.29,,,,,,
,AYALA,,  23,  32.82,  0.40,  32.42,  427.61,,,,,,
,CUAUTLA,,  4,  5.00,-,  5.00,  359.38,,,,,,
,JOJUTLA,,  11,  6.75,-,  6.75,  14.29,,,,,,
,JONACATEPEC,,  9,  6.05,  2.00,  4.05,  14.47,,,,,,
,MIACATLAN,,*,  0.01,-,  0.01,  0.99,,,,,,
,OCUITUCO,,*,  0.50,-,  0.50,  2.00,,,,,,
,TETECALA,,*,  0.45,-,  0.45,  24.99,,,,,,
,TETELA DEL VOLCAN,,  14,  4.56,  0.36,  4.20,  11.75,,,,,,
,TLALTIZAPAN,,  5,  2.30,  0.40,  1.90,  3.00,,,,,,
,TLAQUILTENANGO,,*,  2.50,-,  2.50,-,,,,,,
,XOCHITEPEC,,  4,  1.75,-,  1.75,  92.17,,,,,,
,YAUTEPEC,,  35,  22.55,  1.96,  20.59,  54.01,,,,,,
,ZACATEPEC,,  8,  11.30,-,  11.30,  731.13,,,,,,
NAYARIT,,,  25,  48.36,  2.00,  46.36, 1 351.54,,,,,,
,AHUACATLAN,,  6,  10.33,  2.00,  8.33,  491.06,,,,,,
,COMPOSTELA,,  4,  11.03,-,  11.03,  42.83,,,,,,
,IXTLAN DEL RIO,,  12,  16.50,-,  16.50,  254.72,,,,,,
,XALISCO,,*,  6.50,-,  6.50,  520.00,,,,,,
,SAN PEDRO LAGUNILLAS,,*,  4.00,-,  4.00,  42.94,,,,,,
NUEVO LEON,,,  333, 1 788.58,  177.00, 1 611.58, 24 637.52,,,,,,
,ARAMBERRI,,  258,  953.90,  23.00,  930.90, 14 623.31,,,,,,
,CADEREYTA JIMENEZ,,*,  1.00,-,  1.00,  5.37,,,,,,
,GALEANA,,  57,  767.75,  144.00,  623.75, 9 459.46,,,,,,
,GARCIA,,  3,  1.00,-,  1.00,  9.13,,,,,,
,GENERAL BRAVO,,  3,  27.00,  10.00,  17.00,  257.62,,,,,,
,GENERAL TERAN,,*,  3.50,-,  3.50,  64.40,,,,,,
,GENERAL ZARAGOZA,,*,  1.68,-,  1.68,  22.11,,,,,,
,GENERAL ZUAZUA,,*,  0.00,-,  0.00,  0.23,,,,,,
,MINA,,*,  3.25,-,  3.25,  62.26,,,,,,
,"RAMONES, LOS",,*,  11.00,-,  11.00,  42.94,,,,,,
,RAYONES,,*,  0.50,-,  0.50,  1.61,,,,,,
,SABINAS HIDALGO,,*,  18.00,-,  18.00,  89.09,,,,,,
OAXACA,,, 3 528, 2 871.36,  56.95, 2 814.41, 94 046.17,,,,,,
,ACATLAN DE PEREZ FIGUEROA,,*,  1.00,-,  1.00,  50.00,,,,,,
,ASUNCION CUYOTEPEJI,,*,  0.50,-,  0.50,  4.29,,,,,,
,ASUNCION NOCHIXTLAN,,*,  4.25,-,  4.25,  61.72,,,,,,
,ASUNCION OCOTLAN,,*,  0.25,-,  0.25,  20.00,,,,,,
,CIENEGA DE ZIMATLAN (LA CIENEGA),,  158,  101.92,  1.25,  100.67, 2 742.02,,,,,,
,"COMPAÑIA, LA",,*,  0.33,-,  0.33,  3.09,,,,,,
,CUILAPAM DE GUERRERO,,  11,  7.03,-,  7.03,  57.92,,,,,,
,EJUTLA DE CRESPO,,  6,  3.00,  1.50,  1.50,  8.16,,,,,,
,GUADALUPE ETLA,,  103,  79.25,-,  79.25, 3 142.09,,,,,,
,HUAJUAPAM DE LEON,,  43,  31.07,  0.00,  31.07,  923.21,,,,,,
,IXTLAN DE JUAREZ,,*,  0.50,-,  0.50,  5.37,,,,,,
,JUCHITAN DE ZARAGOZA,,*,  2.00,-,  2.00,  140.00,,,,,,
,MAGDALENA APASCO,,  106,  89.43,  4.25,  85.18, 3 562.29,,,,,,
,MAGDALENA JALTEPEC,,*,  1.00,-,  1.00,  0.48,,,,,,
,MAGDALENA TEITIPAC,,  3,  0.32,  0.00,  0.32,  29.07,,,,,,
,MATIAS ROMERO,,*,  10.50,  3.75,  6.75,-,,,,,,
,MIAHUATLAN DE PORFIRIO DIAZ,,  10,  12.00,  0.50,  11.50,  34.08,,,,,,
,NAZARENO ETLA,,  132,  102.69,  0.99,  101.71, 2 775.82,,,,,,
,OAXACA DE JUAREZ,,  34,  42.38,-,  42.38, 1 698.41,,,,,,
,OCOTLAN DE MORELOS,,  17,  19.37,-,  19.37,  185.16,,,,,,
,PUTLA VILLA DE GUERRERO,,*,  0.07,  0.07,-,-,,,,,,
,REYES ETLA,,  90,  103.36,  3.25,  100.11, 2 139.71,,,,,,
,ROJAS DE CUAUHTEMOC,,  98,  91.37,  1.00,  90.37, 4 029.55,,,,,,
,SAN AGUSTIN DE LAS JUNTAS,,*,  0.25,-,  0.25,  9.13,,,,,,
,SAN AGUSTIN ETLA,,  30,  16.69,-,  16.69,  399.66,,,,,,
,SAN AGUSTIN YATARENI,,*,  0.50,-,  0.50,  2.68,,,,,,
,SAN ANDRES IXTLAHUACA,,  3,  1.17,-,  1.17,  50.46,,,,,,
,SAN ANDRES SINAXTLA,,*,  0.71,-,  0.71,  6.17,,,,,,
,SAN ANDRES ZAUTLA,,  158,  116.54,-,  116.54, 5 148.21,,,,,,
,SAN ANTONINO CASTILLO VELASCO,,  15,  5.69,  0.58,  5.11,  49.92,,,,,,
,SAN ANTONINO EL ALTO,,*,  0.25,-,  0.25,  10.00,,,,,,
,SAN ANTONIO ACUTLA,,*,  0.50,-,  0.50,  0.27,,,,,,
,SAN ANTONIO DE LA CAL,,*,  1.00,-,  1.00,  18.78,,,,,,
,SAN ANTONIO HUITEPEC,,*,  0.50,-,  0.50,  5.37,,,,,,
,SAN BALTAZAR CHICHICAPAM,,  14,  6.50,-,  6.50,  83.29,,,,,,
,SAN BARTOLO COYOTEPEC,,  40,  32.75,-,  32.75, 1 169.76,,,,,,
,SAN BERNARDO MIXTEPEC,,*,  1.00,-,  1.00,  5.37,,,,,,
,SAN BLAS ATEMPA,,*,  6.00,-,  6.00,  64.40,,,,,,
,SAN CRISTOBAL AMATLAN,,*,  0.50,-,  0.50,  6.98,,,,,,
,SAN DIONISIO OCOTEPEC,,  9,  4.55,-,  4.55,  165.80,,,,,,
,SAN DIONISIO OCOTLAN,,  8,  6.50,-,  6.50,  98.18,,,,,,
,SAN FELIPE TEJALAPAM,,  98,  62.83,  2.75,  60.08,  762.89,,,,,,
,SAN FRANCISCO CAHUACUA,,*,  0.25,-,  0.25,  5.37,,,,,,
,SAN FRANCISCO LACHIGOLO,,  19,  12.67,  2.65,  10.02,  436.13,,,,,,
,SAN FRANCISCO OZOLOTEPEC,,*,  1.00,-,  1.00,  0.05,,,,,,
,SAN FRANCISCO TELIXTLAHUACA,,  14,  9.26,  0.25,  9.01,  48.80,,,,,,
,SAN ILDEFONSO SOLA,,*,  0.00,-,  0.00,  0.11,,,,,,
,SAN JACINTO AMILPAS,,  4,  5.00,-,  5.00,  193.21,,,,,,
,SAN JERONIMO SOSOLA,,*,-,-,-,  0.00,,,,,,
,SAN JOSE CHILTEPEC,,*,  5.40,-,  5.40,  350.00,,,,,,
,ANIMAS TRUJANO,,  26,  25.07,  0.07,  25.00, 1 171.39,,,,,,
,SAN JUAN BAUTISTA ATATLAHUCA,,*,  0.45,-,  0.45,  11.81,,,,,,
,SAN JUAN BAUTISTA GUELACHE,,  73,  49.77,  1.00,  48.77, 1 823.26,,,,,,
,SAN JUAN BAUTISTA JAYACATLAN,,  7,  1.86,-,  1.86,  39.61,,,,,,
,SAN JUAN BAUTISTA TUXTEPEC,,  6,  18.04,-,  18.04, 1 246.61,,,,,,
,SAN JUAN CHICOMEZUCHIL,,  9,  4.03,-,  4.03,  10.04,,,,,,
,SAN JUAN CHILATECA,,  10,  5.75,-,  5.75,  20.13,,,,,,
,SAN JUAN DEL ESTADO,,  22,  18.83,-,  18.83,  384.67,,,,,,
,SAN JUAN GUELAVIA,,  5,  2.00,-,  2.00,  55.37,,,,,,
,SAN JUAN SAYULTEPEC,,  4,  5.00,-,  5.00,  10.61,,,,,,
,SAN JUAN TEITIPAC,,  173,  59.53,  0.58,  58.96, 2 816.74,,,,,,
,SAN LORENZO CACAOTEPEC,,  253,  283.81,  1.00,  282.81, 12 422.48,,,,,,
,SAN LUCAS QUIAVINI,,  5,  3.50,  2.50,  1.00,  26.90,,,,,,
,SAN MARTIN HUAMELULPAM,,*,  0.25,-,  0.25,  1.23,,,,,,
,SAN MARTIN TILCAJETE,,  3,  1.00,-,  1.00,  56.10,,,,,,
,SAN MARTIN TOXPALAN,,*,  1.00,-,  1.00,  6.17,,,,,,
,SAN MATEO ETLATONGO,,  55,  35.25,  0.75,  34.50, 1 000.19,,,,,,
,SAN MATEO RIO HONDO,,*,  0.17,-,  0.17,-,,,,,,
,SAN MIGUEL EJUTLA,,*,  1.00,-,  1.00,  24.15,,,,,,
,SAN MIGUEL MIXTEPEC,,  4,  2.75,-,  2.75,  40.25,,,,,,
,SAN MIGUEL PERAS,,  3,  1.50,  0.50,  1.00,  2.68,,,,,,
,VILLA SOLA DE VEGA,,  16,  9.00,-,  9.00,  287.01,,,,,,
,SAN MIGUEL TECOMATLAN,,  4,  2.25,  1.00,  1.25,  82.51,,,,,,
,SAN MIGUEL TILQUIAPAM,,*,  0.38,-,  0.38,  4.02,,,,,,
,SAN MIGUEL TULANCINGO,,*,  0.01,-,  0.01,  0.81,,,,,,
,SAN PABLO ETLA,,  47,  53.50,-,  53.50, 2 378.30,,,,,,
,SAN PABLO HUITZO,,  77,  49.36,-,  49.36, 1 126.24,,,,,,
,SAN PABLO HUIXTEPEC,,  162,  227.33,  5.83,  221.50, 7 155.52,,,,,,
,SAN PABLO VILLA DE MITLA,,  8,  12.25,-,  12.25,  10.50,,,,,,
,SAN PEDRO APOSTOL,,  11,  14.25,-,  14.25,  59.25,,,,,,
,SAN PEDRO IXTLAHUACA,,*,  1.00,  0.75,  0.25,  0.54,,,,,,
,SAN PEDRO MARTIR,,*,  0.25,-,  0.25,  2.68,,,,,,
,SAN PEDRO Y SAN PABLO AYUTLA,,*,  0.25,-,  0.25,  3.76,,,,,,
,VILLA DE ETLA,,  45,  31.40,-,  31.40,  881.69,,,,,,
,SAN PEDRO Y SAN PABLO TEPOSCOLULA,,*,  0.00,-,  0.00,  0.11,,,,,,
,SAN RAYMUNDO JALPAN,,*,  4.00,-,  4.00,  136.86,,,,,,
,SAN SEBASTIAN ABASOLO,,  101,  55.54,-,  55.54, 2 488.04,,,,,,
,SAN SEBASTIAN TEITIPAC,,  11,  2.82,-,  2.82,  158.96,,,,,,
,SAN SEBASTIAN TUTLA,,  13,  8.00,-,  8.00,  151.12,,,,,,
,SAN SIMON ALMOLONGAS,,  8,  1.87,-,  1.87,  10.83,,,,,,
,SANTA ANA,,  9,  1.57,  0.06,  1.52,  43.63,,,,,,
,SANTA ANA DEL VALLE,,  7,  0.80,-,  0.80,  11.97,,,,,,
,SANTA ANA TLAPACOYAN,,  5,  4.00,-,  4.00,  238.36,,,,,,
,SANTA ANA ZEGACHE,,  8,  7.76,-,  7.76,  66.28,,,,,,
,SANTA CATARINA IXTEPEJI,,*,  1.00,-,  1.00,  10.73,,,,,,
,SANTA CATARINA LACHATAO,,*,  0.50,  0.50,-,-,,,,,,
,SANTA CATARINA MINAS,,  5,  1.38,-,  1.38,  28.18,,,,,,
,SANTA CATARINA QUIANE,,  10,  8.25,  0.75,  7.50,  239.37,,,,,,
,SANTA CATARINA TAYATA,,  3,  1.16,-,  1.16,  60.39,,,,,,
,SANTA CRUZ AMILPAS,,*,  0.50,-,  0.50,  16.10,,,,,,
,SANTA CRUZ MIXTEPEC,,  8,  10.40,-,  10.40,  263.81,,,,,,
,SANTA CRUZ PAPALUTLA,,  9,  6.00,-,  6.00,  142.40,,,,,,
,SANTA CRUZ XITLA,,*,  0.50,-,  0.50,  1.34,,,,,,
,SANTA CRUZ XOXOCOTLAN,,  45,  82.05,  0.75,  81.30, 2 560.35,,,,,,
,SANTA GERTRUDIS,,  64,  54.50,  0.50,  54.00, 2 956.92,,,,,,
,SANTA INES YATZECHE,,  9,  8.25,-,  8.25,  32.20,,,,,,
,SANTA LUCIA DEL CAMINO,,  25,  16.50,-,  16.50,  234.85,,,,,,
,SANTA LUCIA OCOTLAN,,*,  0.12,-,  0.12,  10.00,,,,,,
