,"MÉDICOS POR CADA 1,000 HABITANTES A NIVEL MUNICIPAL, 2005-2009",,,,,LEER NOTA,,
08011,CHIHUAHUA,Camargo,1.8,2.0,2.1,2.2,2.2,2.2
08012,CHIHUAHUA,Carichí,1.8,1.2,1.2,1.3,1.0,1.0
08013,CHIHUAHUA,Casas Grandes,0.6,0.6,0.9,0.9,0.5,1.3
08014,CHIHUAHUA,Coronado,2.4,1.9,1.4,1.8,0.9,0.9
08015,CHIHUAHUA,Coyame del Sotol,2.8,2.7,2.6,3.1,1.8,1.8
08016,CHIHUAHUA,La Cruz,0.6,0.6,0.5,0.5,0.3,0.3
08017,CHIHUAHUA,Cuauhtémoc,2.2,2.4,2.4,2.4,2.5,2.6
08018,CHIHUAHUA,Cusihuiriachi,0.8,0.8,0.6,0.6,0.6,0.6
08019,CHIHUAHUA,Chihuahua,2.3,2.2,2.3,2.5,2.5,2.5
08020,CHIHUAHUA,Chínipas,1.5,1.4,1.5,1.4,1.2,1.2
08021,CHIHUAHUA,Delicias,2.5,2.7,2.8,2.8,2.6,2.6
08022,CHIHUAHUA,Dr. Belisario Domínguez,2.3,2.6,2.2,2.1,1.4,1.4
08023,CHIHUAHUA,Galeana,0.5,0.5,0.6,0.6,0.2,0.3
08024,CHIHUAHUA,Santa Isabel,1.3,1.0,1.3,1.3,0.8,0.8
08025,CHIHUAHUA,Gómez Farías,4.6,5.5,7.1,5.6,6.1,5.6
08026,CHIHUAHUA,Gran Morelos,1.3,1.3,1.0,1.3,0.6,0.6
08027,CHIHUAHUA,Guachochi,1.3,1.4,1.4,1.3,1.5,1.5
08028,CHIHUAHUA,Guadalupe,1.5,2.0,2.4,2.6,3.3,1.5
08029,CHIHUAHUA,Guadalupe y Calvo,1.1,1.1,1.1,1.3,0.7,0.7
08030,CHIHUAHUA,Guazapares,1.2,1.3,1.3,1.3,1.1,1.1
08031,CHIHUAHUA,Guerrero,1.1,1.1,1.2,1.4,1.0,1.0
08032,CHIHUAHUA,Hidalgo del Parral,2.5,2.7,2.9,2.9,3.6,3.7
08033,CHIHUAHUA,Huejotitán,1.9,1.9,1.9,1.9,0.0,0.0
08034,CHIHUAHUA,Ignacio Zaragoza,0.6,0.7,1.2,1.0,0.3,0.3
08035,CHIHUAHUA,Janos,0.6,0.6,0.6,0.6,0.4,0.3
08036,CHIHUAHUA,Jiménez,1.3,1.3,1.8,1.7,1.8,1.5
08037,CHIHUAHUA,Juárez,0.9,1.2,1.3,1.3,1.3,1.5
08038,CHIHUAHUA,Julimes,0.7,0.6,0.6,0.6,0.2,0.0
08039,CHIHUAHUA,López,1.3,1.3,1.3,1.5,1.0,1.2
08040,CHIHUAHUA,Madera,1.2,1.4,1.4,1.3,1.4,1.4
08041,CHIHUAHUA,Maguarichi,1.9,1.9,2.0,1.5,1.5,1.0
08042,CHIHUAHUA,Manuel Benavides,1.3,1.2,1.9,1.9,0.6,0.6
08043,CHIHUAHUA,Matachí,1.9,1.3,1.3,0.6,0.6,0.6
08044,CHIHUAHUA,Matamoros,0.9,1.1,1.1,1.4,0.9,0.9
08045,CHIHUAHUA,Meoqui,0.7,1.0,0.9,0.9,0.7,0.7
08046,CHIHUAHUA,Morelos,1.5,1.3,1.4,1.4,1.1,1.1
08047,CHIHUAHUA,Moris,1.0,1.0,1.0,1.0,0.8,0.8
08048,CHIHUAHUA,Namiquipa,1.2,1.1,1.1,1.1,0.8,0.8
08049,CHIHUAHUA,Nonoava,1.4,1.1,1.4,1.4,1.1,1.1
08050,CHIHUAHUA,Nuevo Casas Grandes,2.0,1.8,1.7,1.7,2.2,2.1
08051,CHIHUAHUA,Ocampo,2.1,2.0,1.9,1.8,1.5,1.5
08052,CHIHUAHUA,Ojinaga,1.9,1.8,1.8,1.5,1.7,1.7
08053,CHIHUAHUA,Praxedis G. Guerrero,0.2,n.d.,0.0,0.0,0.0,0.0
08054,CHIHUAHUA,Riva Palacio,0.5,0.5,0.6,0.6,0.5,0.5
08055,CHIHUAHUA,Rosales,0.4,0.6,0.5,0.5,0.2,0.2
08056,CHIHUAHUA,Rosario,1.4,1.4,1.4,1.4,1.4,1.3
08057,CHIHUAHUA,San Francisco de Borja,1.3,1.8,1.8,1.8,1.3,1.3
08058,CHIHUAHUA,San Francisco de Conchos,1.1,0.7,1.1,1.0,0.0,0.0
08059,CHIHUAHUA,San Francisco del Oro,2.3,2.1,2.1,2.1,1.9,1.5
08060,CHIHUAHUA,Santa Bárbara,1.7,1.6,1.6,1.5,1.2,1.5
08061,CHIHUAHUA,Satevó,0.8,0.8,1.1,1.3,0.8,0.8
08062,CHIHUAHUA,Saucillo,0.9,1.4,1.4,1.3,1.2,1.2
08063,CHIHUAHUA,Temósachic,1.3,1.3,1.3,1.1,1.3,1.3
08064,CHIHUAHUA,El Tule,0.6,0.5,0.5,0.5,0.0,0.0
08065,CHIHUAHUA,Urique,1.2,1.2,1.3,1.2,0.9,0.8
08066,CHIHUAHUA,Uruachi,1.4,1.4,1.4,1.4,1.1,1.1
08067,CHIHUAHUA,Valle de Zaragoza,0.9,0.7,1.1,0.8,0.4,0.6
09002,DISTRITO FEDERAL,Azcapotzalco,n.d.,n.d.,0.8,0.7,1.3,1.3
09003,DISTRITO FEDERAL,Coyoacán,n.d.,n.d.,0.8,0.8,0.8,0.9
09004,DISTRITO FEDERAL,Cuajimalpa de Morelos,n.d.,n.d.,0.6,0.6,0.7,0.6
09005,DISTRITO FEDERAL,Gustavo A. Madero,n.d.,n.d.,1.1,1.1,1.3,1.4
09006,DISTRITO FEDERAL,Iztacalco,n.d.,n.d.,0.6,0.7,0.7,0.6
09007,DISTRITO FEDERAL,Iztapalapa,n.d.,n.d.,0.9,0.9,0.9,1.0
09008,DISTRITO FEDERAL,La Magdalena Contreras,n.d.,n.d.,0.5,0.4,0.6,0.6
09009,DISTRITO FEDERAL,Milpa Alta,n.d.,n.d.,1.3,1.1,1.2,1.3
09010,DISTRITO FEDERAL,Álvaro Obregón,n.d.,n.d.,1.8,1.8,1.9,2.0
09011,DISTRITO FEDERAL,Tláhuac,n.d.,n.d.,0.4,0.5,0.5,0.6
09012,DISTRITO FEDERAL,Tlalpan,n.d.,n.d.,0.5,0.5,0.9,1.0
09013,DISTRITO FEDERAL,Xochimilco,n.d.,n.d.,0.7,0.7,0.8,0.8
09014,DISTRITO FEDERAL,Benito Juárez,n.d.,n.d.,4.9,5.0,5.2,4.9
09015,DISTRITO FEDERAL,Cuauhtémoc,n.d.,n.d.,2.4,2.1,2.4,2.4
09016,DISTRITO FEDERAL,Miguel Hidalgo,n.d.,n.d.,2.5,2.6,2.7,2.8
09017,DISTRITO FEDERAL,Venustiano Carranza,n.d.,n.d.,1.9,2.0,1.9,2.0
10001,DURANGO,Canatlán,1.2,1.5,1.6,1.2,1.8,1.3
10002,DURANGO,Canelas,1.5,1.7,1.2,1.5,1.5,1.5
10003,DURANGO,Coneto de Comonfort,1.2,0.9,0.9,1.1,0.9,0.9
10004,DURANGO,Cuencamé,1.6,1.6,1.4,0.8,1.6,1.5
10005,DURANGO,Durango,2.7,3.0,2.8,3.1,3.1,3.1
10006,DURANGO,General Simón Bolívar,0.8,1.2,1.3,0.7,1.4,1.3
10007,DURANGO,Gómez Palacio,2.0,2.4,2.3,2.1,2.4,2.3
10008,DURANGO,Guadalupe Victoria,1.2,1.2,1.1,1.3,1.4,1.3
10009,DURANGO,Guanaceví,1.8,1.7,1.5,1.5,1.5,1.0
10010,DURANGO,Hidalgo,1.4,1.2,1.4,0.9,1.9,0.9
10011,DURANGO,Indé,1.9,1.6,1.8,1.4,1.0,0.9
10012,DURANGO,Lerdo,0.8,1.0,1.0,0.8,1.0,1.0
10013,DURANGO,Mapimí,0.9,0.9,0.9,0.9,1.3,1.2
10014,DURANGO,Mezquital,1.7,1.9,1.9,1.7,1.6,2.0
10015,DURANGO,Nazas,1.0,1.0,1.0,0.9,0.9,0.8
10016,DURANGO,Nombre de Dios,0.9,0.9,0.7,0.7,0.8,0.6
10017,DURANGO,Ocampo,1.5,1.5,1.5,1.5,1.5,1.9
10018,DURANGO,El Oro,3.6,3.0,2.5,1.9,2.4,2.1
10019,DURANGO,Otáez,1.3,1.9,1.4,0.8,0.8,0.2
10020,DURANGO,Pánuco de Coronado,1.1,1.3,0.8,0.7,2.1,1.4
10021,DURANGO,Peñón Blanco,0.8,0.9,0.7,0.8,2.0,1.5
10022,DURANGO,Poanas,0.6,0.5,0.4,0.3,0.5,0.5
10023,DURANGO,Pueblo Nuevo,1.7,2.1,1.9,1.4,2.0,1.8
10024,DURANGO,Rodeo,2.8,3.5,2.8,3.7,5.4,4.2
10025,DURANGO,San Bernardo,1.3,1.4,0.8,0.6,0.9,0.6
10026,DURANGO,San Dimas,1.0,1.1,0.9,0.7,0.7,0.8
10027,DURANGO,San Juan de Guadalupe,1.7,1.7,1.0,1.2,1.2,1.0
10028,DURANGO,San Juan del Río,1.6,1.3,1.8,1.1,2.2,1.6
10029,DURANGO,San Luis del Cordero,1.5,1.5,1.4,1.4,0.5,1.4
10030,DURANGO,San Pedro del Gallo,2.0,1.9,1.9,1.8,1.2,1.2
