,,UNIDADES DE PRODUCCIÓN RURALES CON SUPERFICIE AGRÍCOLA,,,,LM368_01,,,,,,
,,"POR ENTIDAD, MUNICIPIO Y GRUPO DE SUPERFICIE TOTAL",,,,,,,,,,
,,,,,,,,,,,,
,,"ENTIDAD,  MUNICIPIO Y GRUPO DE SUPERFICIE TOTAL",,,UNIDADES DE PRODUCCIÓN,SUPERFICIE AGRÍCOLA                                      (HA),,,,,,
,,,,,,,,,,,,
Ent,Mun,,,,,,,,,,,
,,,,,,,,,,,,
,,ESTADOS UNIDOS MEXICANOS,,,3 794 025,30 537 701.74,,,,,,
05,,,,MAS DE    5 HASTA   20 HA.,  95,  974.83,,,,,,
05,,,,MAS DE   20 HASTA   50 HA.,  32,  831.05,,,,,,
05,,,,MAS DE   50 HASTA  100 HA.,  20,  802.28,,,,,,
05,,,,MAS DE  100 HASTA 1000 HA.,  16, 1 349.93,,,,,,
05,,,,MAS DE 1000 HASTA 2500 HA.,*,  270.00,,,,,,
05,,,,MAS DE 2500 HA.,*,  395.00,,,,,,
05,002,,ACUÑA,,  267, 4 069.07,,,,,,
05,,,,HASTA    2 HA.,  4,  4.51,,,,,,
05,,,,MAS DE    2 HASTA    5 HA.,  47,  195.25,,,,,,
05,,,,MAS DE    5 HASTA   20 HA.,  94,  898.29,,,,,,
05,,,,MAS DE   20 HASTA   50 HA.,  78, 1 291.19,,,,,,
05,,,,MAS DE   50 HASTA  100 HA.,  18,  352.00,,,,,,
05,,,,MAS DE  100 HASTA 1000 HA.,  6,  225.50,,,,,,
05,,,,MAS DE 1000 HASTA 2500 HA.,  11,  872.10,,,,,,
05,,,,MAS DE 2500 HA.,  9,  230.23,,,,,,
05,003,,ALLENDE,,  256, 5 484.57,,,,,,
05,,,,HASTA    2 HA.,*,  25.25,,,,,,
05,,,,MAS DE    2 HASTA    5 HA.,  35,  137.61,,,,,,
05,,,,MAS DE    5 HASTA   20 HA.,  132, 1 381.28,,,,,,
05,,,,MAS DE   20 HASTA   50 HA.,  31,  830.12,,,,,,
05,,,,MAS DE   50 HASTA  100 HA.,  15,  685.28,,,,,,
05,,,,MAS DE  100 HASTA 1000 HA.,  27, 2 235.03,,,,,,
05,,,,MAS DE 1000 HASTA 2500 HA.,*,  190.00,,,,,,
05,004,,ARTEAGA,, 2 703, 29 028.46,,,,,,
05,,,,HASTA    2 HA.,  177,  249.95,,,,,,
05,,,,MAS DE    2 HASTA    5 HA.,  452, 1 655.52,,,,,,
05,,,,MAS DE    5 HASTA   20 HA., 1 662, 13 352.02,,,,,,
05,,,,MAS DE   20 HASTA   50 HA.,  171, 3 581.84,,,,,,
05,,,,MAS DE   50 HASTA  100 HA.,  107, 3 467.65,,,,,,
05,,,,MAS DE  100 HASTA 1000 HA.,  128, 6 529.37,,,,,,
05,,,,MAS DE 1000 HASTA 2500 HA.,  6,  192.11,,,,,,
05,005,,CANDELA,,  212, 19 230.39,,,,,,
05,,,,HASTA    2 HA.,  37,  52.34,,,,,,
05,,,,MAS DE    2 HASTA    5 HA.,  56,  178.86,,,,,,
05,,,,MAS DE    5 HASTA   20 HA.,  46,  355.50,,,,,,
05,,,,MAS DE   20 HASTA   50 HA.,  14,  267.17,,,,,,
05,,,,MAS DE   50 HASTA  100 HA.,  14,  368.24,,,,,,
05,,,,MAS DE  100 HASTA 1000 HA.,  22,  900.05,,,,,,
05,,,,MAS DE 1000 HASTA 2500 HA.,  11, 7 752.50,,,,,,
05,,,,MAS DE 2500 HA.,  12, 9 355.73,,,,,,
05,006,,CASTAÑOS,, 1 388, 11 307.93,,,,,,
05,,,,HASTA    2 HA.,  391,  628.63,,,,,,
05,,,,MAS DE    2 HASTA    5 HA.,  463, 1 643.25,,,,,,
05,,,,MAS DE    5 HASTA   20 HA.,  424, 3 550.53,,,,,,
05,,,,MAS DE   20 HASTA   50 HA.,  26,  464.12,,,,,,
05,,,,MAS DE   50 HASTA  100 HA.,  11,  282.01,,,,,,
05,,,,MAS DE  100 HASTA 1000 HA.,  55, 1 908.56,,,,,,
05,,,,MAS DE 1000 HASTA 2500 HA.,  9, 1 104.00,,,,,,
05,,,,MAS DE 2500 HA.,  9, 1 726.82,,,,,,
05,007,,CUATROCIENEGAS,, 1 159, 14 455.71,,,,,,
05,,,,HASTA    2 HA.,  592,  732.28,,,,,,
05,,,,MAS DE    2 HASTA    5 HA.,  289, 1 080.24,,,,,,
