"UNIDADES DE PRODUCCIÓN URBANAS, Y RURALES CON SUPERFICIE AGRÍCOLA, SEGÚN DESTINO",,,,,,,,CUADRO 10,,,
"DE LA PRODUCCIÓN AGRÍCOLA, POR ENTIDAD Y MUNICIPIO",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ENTIDAD Y MUNICIPIO,,,,UNIDADES DE PRODUCCIÓN,DESTINO DE LA PRODUCCIÓN,,,NO REPORTARON PRODUCCIÓN,,,
,,,,,SÓLO AUTOCONSUMO,VENTA,,,,,
,,,,,,SÓLO LOCAL O NACIONAL,"LOCAL, NACIONAL Y EXPORTACIÓN ",,,,
,,,,,,,"LOCAL, NACIONAL Y EXPORTACIÓN ",,,,
,,,,,,,,,,,
,,,,,,,,,,,
,BOCOYNA,,, 3 540, 2 908,  479,-,  153,,,
,BUENAVENTURA,,, 1 635,  118, 1 360,  8,  149,,,
,CAMARGO,,, 1 230,  114,  938,  47,  131,,,
,CARICHI,,, 1 995, 1 320,  621,  7,  47,,,
,CASAS GRANDES,,, 1 305,  472,  665,  5,  163,,,
,CORONADO,,,  407,  57,  344,-,  6,,,
,COYAME,,,  215,  64,  100,*,  50,,,
,"CRUZ, LA",,,  401,  27,  344,  3,  27,,,
,CUAUHTEMOC,,, 5 628, 1 084, 4 272,*,  271,,,
,CUSIHUIRIACHI,,, 1 407,  211, 1 131,*,  64,,,
,CHIHUAHUA,,, 3 313,  707, 2 053,  8,  545,,,
,CHINIPAS,,, 1 055,  799,  185,-,  71,,,
,DELICIAS,,,  879,  41,  775,  15,  48,,,
,DOCTOR BELISARIO DOMINGUEZ,,,  913,  288,  623,-,*,,,
,GALEANA,,,  396,  27,  312,*,  55,,,
,GENERAL TRIAS,,,  769,  111,  642,-,  16,,,
,GOMEZ FARIAS,,, 1 405,  65, 1 318,*,  21,,,
,GRAN MORELOS,,,  974,  139,  798,-,  37,,,
,GUACHOCHI,,, 6 209, 5 533,  498,*,  176,,,
,GUADALUPE,,,  583,  97,  310,  38,  138,,,
,GUADALUPE Y CALVO,,, 3 265, 2 843,  294,-,  128,,,
,GUAZAPARES,,, 1 979, 1 777,  172,*,  29,,,
,GUERRERO,,, 4 827, 1 362, 3 257,  8,  200,,,
,HIDALGO DEL PARRAL,,,  515,  226,  218,-,  71,,,
,HUEJOTITAN,,,  338,  241,  72,-,  25,,,
,IGNACIO ZARAGOZA,,, 1 727,  182, 1 496,*,  47,,,
,JANOS,,, 1 694,  305, 1 167,  3,  219,,,
,JIMENEZ,,, 1 076,  245,  557,  35,  239,,,
,JUAREZ,,,  908,  135,  633,  53,  87,,,
,JULIMES,,,  731,  67,  636,*,  26,,,
,LOPEZ,,,  728,  62,  614,  6,  46,,,
,MADERA,,, 2 693,  979, 1 434,  3,  277,,,
,MAGUARICHI,,,  214,  192,  16,*,  5,,,
,MANUEL BENAVIDES,,,  380,  249,  88,-,  43,,,
,MATACHI,,,  465,  85,  363,-,  17,,,
,MATAMOROS,,,  642,  240,  369,-,  33,,,
,MEOQUI,,, 2 063,  123, 1 862,  11,  67,,,
,MORELOS,,, 1 070,  917,  59,-,  94,,,
,MORIS,,,  637,  463,  155,-,  19,,,
,NAMIQUIPA,,, 4 731,  382, 4 218,  4,  127,,,
,NONOAVA,,,  378,  329,  37,-,  12,,,
,NUEVO CASAS GRANDES,,,  383,  73,  279,-,  31,,,
,OCAMPO,,,  953,  782,  89,*,  81,,,
,OJINAGA,,, 1 283,  225,  711,  7,  340,,,
,PRAXEDIS G. GUERRERO,,,  788,  28,  610,  36,  114,,,
,RIVA PALACIO,,, 1 744,  376, 1 351,-,  17,,,
,ROSALES,,, 1 848,  160, 1 582,  7,  99,,,
,ROSARIO,,,  647,  430,  188,-,  29,,,
,SAN FRANCISCO DE BORJA,,,  516,  313,  138,-,  65,,,
,SAN FRANCISCO DE CONCHOS,,,  290,  59,  182,*,  48,,,
,SAN FRANCISCO DEL ORO,,,  289,  213,  62,-,  14,,,
,SANTA BARBARA,,,  395,  219,  150,-,  26,,,
,SATEVO,,, 1 143,  496,  604,*,  41,,,
,SAUCILLO,,, 1 273,  131, 1 019,  28,  95,,,
,TEMOSACHI,,, 1 236,  616,  521,*,  97,,,
,"TULE, EL",,,  471,  304,  156,-,  11,,,
,URIQUE,,, 2 492, 1 661,  780,-,  51,,,
,URUACHI,,, 1 146, 1 094,  49,-,  3,,,
,VALLE DE ZARAGOZA,,,  885,  334,  478,-,  73,,,
DISTRITO FEDERAL,,,, 20 180, 10 950, 5 417,  4, 3 809,,,
,AZCAPOTZALCO,,,  7,  3,*,-,  3,,,
,COYOACAN,,,*,*,*,*,*,,,
,CUAJIMALPA DE MORELOS,,, 1 467,  844,  60,-,  563,,,
,GUSTAVO A. MADERO,,,  121,  78,  13,-,  30,,,
,IZTACALCO,,,*,*,*,*,*,,,
,IZTAPALAPA,,,  27,  14,  3,-,  10,,,
,"MAGDALENA CONTRERAS, LA",,,  822,  588,  134,-,  100,,,
,MILPA ALTA,,, 5 303, 2 569, 1 738,  4,  992,,,
,ALVARO OBREGON,,,  857,  633,  69,-,  155,,,
,TLAHUAC,,, 5 316, 3 478, 1 197,-,  641,,,
,TLALPAN,,, 2 642, 1 111,  910,-,  621,,,
,XOCHIMILCO,,, 3 613, 1 630, 1 289,-,  694,,,
