"SUPERFICIE DE UNIDADES DE PRODUCCIîN RURALES, SEGòN RƒGIMEN",,,,,,,CUADRO 5
"DE TENENCIA DE LA TIERRA, POR ENTIDAD Y MUNICIPIO",,,,,,,
,,,,,,,
ENTIDAD Y  MUNICIPIO,, SUPERFICIE TOTAL  (HA) ,  TENENCIA DE LA TIERRA,,,,
,,,EJIDAL  (HA), COMUNAL  (HA),PRIVADA  (HA) ,  COLONIA (HA) , PUBLICA  (HA)
,,,,,,,
,,,,,,,
,SANTA INES AHUATEMPAN, 23 806.78,-,-, 23 783.78,-,23
,SANTA ISABEL CHOLULA, 3 251.51,927.48,-, 1 793.17,-,530.86
,SANTIAGO MIAHUATLAN, 3 020.77, 1 902.63,-, 1 116.14,-,2
,HUEHUETLAN EL GRANDE, 5 834.34, 1 722.57, 1 705.91, 2 355.86,-,50
,SANTO TOMAS HUEYOTLIPAN, 2 027.81,458.96,-, 1 182.20,-,386.65
,SOLTEPEC, 7 014.65, 5 410.19,-, 1 604.46,-,-
,TECALI DE HERRERA, 11 130.60, 1 935.85,-, 8 429.00,-,765.75
,TECAMACHALCO, 13 450.72, 7 200.88,-, 4 940.74,-, 1 309.10
,TECOMATLAN, 5 478.17,942.41,-, 4 485.88,-,49.88
,TEHUACAN, 10 871.21, 4 901.99,126.15, 5 834.58,-,8.5
,TEHUITZINGO, 18 558.41, 7 056.33,-, 11 502.08,-,-
,TENAMPULCO, 13 798.09, 4 443.80,-, 9 338.60,-,15.69
,TEOPANTLAN, 3 515.68,633.38, 1 768.76, 1 113.54,-,-
,TEOTLALCO, 2 378.99, 1 314.22,788.19,276.58,-,-
,TEPANCO DE LOPEZ, 17 949.93, 3 596.30,-, 14 327.63,-,26
,TEPANGO DE RODRIGUEZ, 1 930.30,-,-, 1 817.80,-,112.5
,TEPATLAXCO DE HIDALGO, 4 646.03, 1 220.09,-, 3 425.95,-,-
,TEPEACA, 12 083.19, 6 441.35,-, 5 641.84,-,-
,TEPEMAXALCO,756.07,571.07,32.75,152.25,-,-
,TEPEOJUMA, 3 438.01, 2 455.15,141.75,841.11,-,-
,TEPETZINTLA, 5 284.48,117.09,-, 5 148.14,-,19.25
,TEPEXCO, 2 920.67,943.07,78.9, 1 898.70,-,-
,TEPEXI DE RODRIGUEZ, 28 087.91, 1 765.22, 2 291.34, 13 842.02,-, 10 189.33
,TEPEYAHUALCO, 27 532.15, 15 928.78,-, 11 603.37,-,-
,TEPEYAHUALCO DE CUAUHTEMOC, 1 152.49,454.74,-,697.75,-,-
,TETELA DE OCAMPO, 18 357.19,97.03,-, 18 187.78,-,72.38
,TETELES DE AVILA CASTILLO,688.98,-,-,686.98,-,2
,TEZIUTLAN, 9 860.03,329.8,-, 9 386.02,-,144.2
,TIANGUISMANALCO, 4 618.79, 1 725.62,31.57, 2 861.61,-,-
,TILAPA, 3 237.60, 2 570.10,-,667.5,-,-
,TLACOTEPEC DE BENITO JUAREZ, 22 084.73, 6 707.75,539.65, 14 739.83,-,97.5
,TLACUILOTEPEC, 19 376.36,569.7,65.75, 18 713.17,-,27.75
,TLACHICHUCA, 24 453.51, 18 841.27,-, 5 604.24,-,8
,TLAHUAPAN, 15 332.19, 8 342.42,-, 6 989.77,-,-
,TLALTENANGO, 1 842.63,819.14,-, 1 023.49,-,-
,TLANEPANTLA, 2 810.17,404.35,-, 1 791.97,-,613.85
,TLAOLA, 12 260.69,113.27,-, 11 762.34,-,385.08
,TLAPACOYA, 7 947.38, 1 216.59,-, 6 599.44,-,131.35
,TLAPANALA, 4 110.27, 2 591.34,-, 1 518.93,-,-
,TLATLAUQUITEPEC, 26 655.62,727.51,-, 25 921.29,-,6.82
,TLAXCO, 46 459.83,81,-, 46 367.33,-,11.5
,TOCHIMILCO, 8 196.56, 2 722.90,65.5, 5 290.77,-,117.4
,TOCHTEPEC, 6 991.20, 1 474.33,-, 5 515.16,-,1.7
,TOTOLTEPEC DE GUERRERO, 10 948.26, 1 161.00, 3 506.91, 1 356.58,-, 4 923.78
,TULCINGO, 8 469.90,427.01,44.4, 7 810.50,-,188
,TUZAMAPAN DE GALEANA, 3 190.78,400.5,-, 2 770.28,-,20
,TZICATLACOYAN, 7 636.88, 1 575.32,115.08, 2 990.90,-, 2 955.58
,VENUSTIANO CARRANZA, 32 526.16, 7 065.93,-, 25 421.23,-,39
,VICENTE GUERRERO, 16 220.91, 9 928.10, 1 860.85, 4 417.96,-,14
,XAYACATLAN DE BRAVO, 4 265.63,-,-, 4 259.38,-,6.25
,XICOTEPEC, 31 022.43, 2 729.49,-, 28 262.04,-,30.91
,XICOTLAN, 13 105.67,153.4,989.35, 11 560.60,-,402.32
,XIUTETELCO, 15 079.73, 6 402.06, 1 418.23, 7 247.54,-,11.9
,XOCHIAPULCO, 4 456.73,56.55,-, 4 393.05,-,7.13
,XOCHILTEPEC, 1 928.48,-,1.5, 1 926.98,-,-
,XOCHITLAN DE VICENTE SUAREZ, 7 599.86,12.5,-, 7 584.28,-,3.08
,XOCHITLAN TODOS SANTOS, 7 958.72, 2 100.21,-, 5 858.51,-,-
,YAONAHUAC, 2 842.63,-,-, 2 826.59,-,16.03
,YEHUALTEPEC, 7 645.11, 2 522.06,-, 5 116.55,-,6.5
,ZACAPALA, 12 841.25, 1 305.53,773.57, 10 692.24,-,69.91
,ZACAPOAXTLA, 21 388.20, 1 487.19,-, 19 880.37,-,20.64
,ZACATLAN, 54 637.34, 3 762.61, 3 421.90, 47 439.81,-,13.02
,ZAPOTITLAN, 3 017.96, 1 067.15, 1 467.59,383.22,-,100
,ZAPOTITLAN DE MENDEZ, 1 515.97,-,-, 1 507.95,-,8.02
,ZARAGOZA, 3 089.45, 1 115.89,-, 1 968.36,-,5.19
,ZAUTLA, 17 097.16, 2 683.08,-, 14 410.58,-,3.5
,ZIHUATEUTLA, 12 714.47, 5 167.64,-, 7 535.83,-,10.99
,ZINACATEPEC, 2 524.48,-,-, 2 406.98,-,117.5
,ZONGOZOTLA, 2 527.25,194.25,-, 1 922.45,-,410.56
,ZOQUIAPAN, 1 956.99,40.5,313.23, 1 601.26,-,2
,ZOQUITLAN, 21 795.69,934.37,-, 19 631.23,-, 1 230.10
QUERETARO,, 659 573.84, 161 049.45, 4 729.34, 483 418.87, 5 681.00, 4 695.18
,AMEALCO DE BONFIL, 38 027.39, 15 329.44,-, 22 547.95,-,150
,PINAL DE AMOLES, 46 903.20, 4 193.45,-, 42 677.50,-,32.25
,ARROYO SECO, 23 113.24, 4 303.88,-, 18 761.72,-,47.63
,CADEREYTA DE MONTES, 33 974.40, 9 038.47, 2 838.88, 22 093.04,-,4
,COLON, 36 339.14, 13 722.25,-, 20 126.73,635.71, 1 854.45
,CORREGIDORA, 13 819.37, 8 570.10,-, 5 240.62,-,8.65
,EZEQUIEL MONTES, 25 899.26, 3 992.81,-, 21 835.46,-,71
,HUIMILPAN, 26 171.11, 7 209.02,-, 18 962.10,-,-
,JALPAN DE SERRA, 113 393.64, 2 203.38,-, 110 547.51,-,642.75
,LANDA DE MATAMOROS, 63 344.91, 2 603.42,-, 60 195.74,-,545.75
,"MARQUES, EL", 48 936.87, 18 305.69,-, 30 348.18,-,283
,PEDRO ESCOBEDO, 23 191.47, 15 879.81,-, 6 839.83,-,471.83
,PE„AMILLER, 17 759.57, 2 396.46,-, 15 356.40,-,6.71
,QUERETARO, 38 358.16, 18 706.40,-, 19 559.69,-,92.07
,SAN JOAQUIN, 10 569.85,474.6, 1 890.46, 8 201.79,-,3
,SAN JUAN DEL RIO, 41 972.92, 27 216.39,-, 14 691.10,-,65.43
,TEQUISQUIAPAN, 18 191.09, 6 255.03,-, 6 890.78, 5 045.29,-
,TOLIMAN, 39 608.26,648.84,-, 38 542.76,-,416.66
QUINTANA ROO,,1 290 936.65, 892 411.84,32.4, 374 562.93,-, 23 929.47
,COZUMEL, 77 164.00, 11 189.83,2, 65 417.02,-,555.15
,FELIPE CARRILLO PUERTO, 332 830.84, 278 100.98,-, 54 198.95,-,530.91
,ISLA MUJERES, 20 950.52, 2 040.91,4, 18 905.60,-,-
,OTHON P. BLANCO, 619 799.40, 527 558.21,22.32, 74 405.52,-, 17 813.35
,BENITO JUAREZ, 96 135.67, 29 803.73,-, 66 331.94,-,-
,JOSE MARIA MORELOS, 80 964.92, 18 492.62,4.08, 57 518.16,-, 4 950.06
,LAZARO CARDENAS, 63 091.31, 25 225.57,-, 37 785.75,-,80
SAN LUIS POTOSI,,2 495 777.12, 827 713.12, 69 487.42,1 486 889.09, 99 217.78, 12 469.71
,AHUALULCO, 7 693.74, 5 901.23,-, 1 791.51,-,1
,ALAQUINES, 20 641.12, 10 189.52, 1 492.15, 8 118.17,841.27,-
,AQUISMON, 58 387.57, 20 389.91, 11 751.17, 26 246.49,-,-
,ARMADILLO DE LOS INFANTE, 28 908.22, 2 011.76,20, 26 838.46,-,38
,CARDENAS, 11 681.35, 6 918.30,-, 4 130.55,632.5,-
,CATORCE, 21 830.01, 6 574.49,815.66, 14 369.85,-,70
,CEDRAL, 19 930.52, 14 146.91,-, 5 783.61,-,-
,CERRITOS, 41 133.90, 6 895.13,-, 34 171.57,-,67.2
,CERRO DE SAN PEDRO, 3 047.69,449.81,-, 2 597.88,-,-
,CIUDAD DEL MAIZ, 231 585.19, 48 738.37,171.01, 89 309.90, 88 855.19, 4 510.72
,CIUDAD FERNANDEZ, 22 972.92, 9 721.30,-, 11 443.66, 1 795.95,12
,TANCANHUITZ DE SANTOS, 12 145.51, 3 147.49, 4 483.17, 4 507.85,-,7
,CIUDAD VALLES, 202 688.07, 107 860.21,-, 94 793.86,-,34
,COXCATLAN, 8 754.84, 1 507.83, 4 446.48, 2 797.53,-,3
,CHARCAS, 75 645.01, 16 509.90,-, 58 603.63,-,531.48
,EBANO, 51 235.91, 35 409.16,-, 14 892.75,-,934
,GUADALCAZAR, 76 055.51, 17 142.76,-, 57 012.46, 1 900.04,0.25
,HUEHUETLAN, 7 256.02, 1 938.38, 2 826.19, 2 329.44,-,162
,LAGUNILLAS, 29 501.75, 5 350.99,-, 24 150.76,-,-
,MATEHUALA, 29 465.96, 16 357.63,-, 13 108.33,-,-
,MEXQUITIC DE CARMONA, 17 275.10, 8 507.77,-, 8 751.00,-,16.33
,MOCTEZUMA, 20 773.26, 10 239.97,-, 10 524.69,-,8.6
,RAYON, 27 472.92, 9 679.66,-, 17 793.27,-,-
,RIOVERDE, 93 541.02, 28 305.66,34, 65 155.60,-,45.76
,SALINAS, 71 074.09, 21 903.25,-, 48 747.68,-,423.16
,SAN ANTONIO, 8 787.54, 2 867.43, 3 730.38, 2 189.73,-,-
,SAN CIRO DE ACOSTA, 23 525.11, 4 583.03,-, 18 859.76,-,82.32
,SAN LUIS POTOSI, 28 041.40, 14 140.48,125.25, 13 773.83,-,1.85
,SAN MARTIN CHALCHICUAUTLA, 38 037.03, 10 473.77, 3 781.06, 23 435.04,-,347.16
,SAN NICOLAS TOLENTINO, 14 662.16, 1 718.73,-, 12 925.93,-,17.5
,SANTA CATARINA, 19 045.47, 11 746.28,570.32, 6 690.88,-,38
,SANTA MARIA DEL RIO, 81 262.62, 5 831.57,-, 75 431.05,-,-
,SANTO DOMINGO, 212 306.47, 32 100.21,-, 180 206.26,-,-
,SAN VICENTE TANCUAYALAB, 47 907.75, 15 899.55,-, 28 016.20,-, 3 992.00
,SOLEDAD DE GRACIANO SANCHEZ, 11 508.36, 7 941.89,-, 3 463.47,-,103
,TAMASOPO, 71 745.53, 58 373.83,-, 13 222.11,-,149.59
,TAMAZUNCHALE, 44 605.41, 12 252.15, 25 726.43, 6 434.21,-,192.63
,TAMPACAN, 16 010.48, 5 362.89, 3 026.22, 7 592.37,-,29
,TAMPAMOLON CORONA, 24 220.34, 2 401.07, 4 023.87, 17 795.40,-,-
,TAMUIN, 154 189.39, 38 551.75,-, 115 228.64,-,409
,TANLAJAS, 32 015.48, 16 848.11,301.82, 14 865.55,-,-
,TANQUIAN DE ESCOBEDO, 11 526.52, 6 310.01,-, 5 216.51,-,-
,TIERRANUEVA, 25 057.64, 1 131.51,-, 23 926.14,-,-
,VANEGAS, 47 855.45, 7 142.40,-, 40 713.05,-,-
,VENADO, 56 832.18, 10 671.90,-, 46 152.28,-,8
,VILLA DE ARRIAGA, 50 091.05, 14 294.05,-, 35 797.00,-,-
,VILLA DE GUADALUPE, 28 949.97, 8 415.98,-, 20 533.99,-,-
,VILLA DE LA PAZ, 1 301.29, 1 152.55,-,148.74,-,-
,VILLA DE RAMOS, 90 003.02, 54 252.22,-, 35 750.80,-,-
,VILLA DE REYES, 18 208.33, 11 564.57,-, 6 599.62,-,44.14
,VILLA HIDALGO, 25 269.34, 12 789.40,-, 12 479.93,-,-
,VILLA JUAREZ, 31 827.50, 10 358.23,-, 16 276.45, 5 192.82,-
,AXTLA DE TERRAZAS, 17 055.38, 9 769.14,992.21, 6 294.04,-,-
,XILITLA, 30 401.65, 16 677.33, 1 170.02, 12 548.15,-,6.15
,ZARAGOZA, 27 434.01, 2 423.59,-, 25 010.43,-,-
,VILLA DE ARISTA, 15 396.11, 3 870.15,-, 11 341.08,-,184.88
SINALOA,,2 240 921.90,1 334 420.00, 129 641.53, 751 121.29, 9 179.37, 16 559.71
,AHOME, 204 300.51, 146 561.15,701.57, 55 638.50,935.01,464.28
,ANGOSTURA, 86 817.81, 58 291.49,116.4, 23 924.91,-, 4 485.00
,BADIRAGUATO, 53 802.73, 40 869.77, 8 410.37, 4 522.59,-,-
,CONCORDIA, 31 674.64, 7 341.15, 17 743.64, 6 545.85,30,14
,COSALA, 47 509.35, 17 455.77, 3 002.82, 26 831.05,22,197.71
,CULIACAN, 315 403.73, 194 426.19, 23 425.89, 93 566.58, 1 890.55, 2 094.51
,CHOIX, 80 800.07, 44 889.47,227.55, 35 401.05,-,282
,ELOTA, 81 535.40, 58 871.87, 7 010.04, 12 277.87,80, 3 295.63
,ESCUINAPA, 75 227.28, 34 588.31,78, 40 360.64,-,200.33
,"FUERTE, EL", 208 998.81, 120 828.14,417, 85 915.81,-, 1 837.86
,GUASAVE, 207 025.27, 155 592.49,151.87, 51 120.13,22.5,138.29
,MAZATLAN, 117 437.13, 26 048.52, 29 735.93, 60 630.15,729,293.53
,MOCORITO, 116 445.79, 63 661.66, 14 021.66, 38 385.02,67.42,310.04
,ROSARIO, 96 941.06, 33 411.05, 4 106.94, 58 296.96,-, 1 126.12
,SALVADOR ALVARADO, 49 477.92, 29 191.00,633.71, 19 564.48,26.72,62
,SAN IGNACIO, 91 663.99, 32 661.14, 12 904.82, 40 340.83, 5 286.17,471.04
,SINALOA, 256 617.99, 202 436.05, 6 943.34, 46 754.33,90,394.28
,NAVOLATO, 119 242.45, 67 294.81,10, 51 044.54,-,893.1
SONORA,,12 291 973.03,1 663 782.86, 152 308.19,10 039 492.52, 173 258.48, 263 130.98
,ACONCHI, 11 630.05,147,4, 11 463.55,-,15.5
,AGUA PRIETA, 235 192.65, 14 891.93,-, 219 131.11, 1 159.61,10
,ALAMOS, 472 081.32, 134 644.57, 9 230.24, 279 411.53, 2 498.89, 46 296.08
,ALTAR, 395 026.24, 29 708.00, 22 752.00, 334 479.24, 8 087.00,-
,ARIVECHI, 35 809.81, 10 684.33,-, 25 107.48,-,18
,ARIZPE, 254 781.19, 1 576.22,-, 253 168.37,-,36.59
,ATIL, 37 998.51, 8 292.16,-, 29 706.35,-,-
,BACADEHUACHI, 65 082.18, 30 259.27,-, 34 822.90,-,-
,BACANORA, 100 800.27, 1 001.21,-, 79 043.26,-, 20 755.80
,BACERAC, 80 001.74,554.29,27, 73 947.55, 3 457.40, 2 015.50
,BACOACHI, 109 474.03,254.75,77.5, 109 131.28,10,0.5
,BACUM, 52 337.80, 34 201.81,4, 17 747.58,16,368.42
,BANAMICHI, 62 562.27,599.76,24.51, 60 938.01,-, 1 000.00
,BAVIACORA, 35 632.37, 1 444.02,344.8, 33 792.94,-,50.61
,BAVISPE, 212 325.93,447.61,-, 208 186.32,2, 3 690.00
,BENJAMIN HILL, 121 667.81,185,-, 121 342.81,140,-
,CABORCA, 586 575.93, 152 689.20, 22 000.00, 390 241.73, 20 945.00,700
,CAJEME, 252 526.43, 95 308.31, 16 465.26, 138 629.78, 1 393.28,729.8
,CANANEA, 201 154.82, 131 590.75,-, 66 032.07,-, 3 532.00
,CARBO, 249 306.15, 3 215.10,-, 221 990.05,-, 24 101.00
,"COLORADA, LA", 364 304.67, 10 923.59,20, 350 011.08,-, 3 350.00
,CUCURPE, 131 809.91,77.1, 1 556.72, 126 876.08,-, 3 300.00
,CUMPAS, 162 043.63, 3 095.20,1, 158 940.93,-,6.5
,DIVISADEROS, 46 812.68, 1 179.58,-, 45 633.10,-,-
,EMPALME, 72 820.59, 29 955.33, 11 771.00, 29 313.86, 1 550.18,230.22
,ETCHOJOA, 105 733.83, 39 342.84,724.52, 61 015.77, 4 326.01,324.69
,FRONTERAS, 196 148.51, 2 918.60,40, 188 832.87,37, 4 320.05
,GRANADOS, 4 294.88,164.73,-, 4 117.65,2.5,10
,GUAYMAS, 400 569.33, 106 404.35, 25 332.34, 267 132.99, 1 584.15,115.5
,HERMOSILLO,1 292 072.37, 36 995.16,423.5,1 214 281.80, 34 454.36, 5 917.55
,HUACHINERA, 148 680.34, 1 005.63,-, 147 674.22,-,0.5
,HUASABAS, 52 830.31,193.86,2.5, 52 633.95,-,-
,HUATABAMPO, 114 613.15, 84 497.81,172.5, 29 584.55,352.29,6.01
,HUEPAC, 12 699.38,204.51,146, 12 344.38,2.5,2
,IMURIS, 143 858.44, 1 548.77,12.82, 139 014.85,2, 3 280.00
,MAGDALENA, 105 261.58, 1 484.86, 4 964.00, 98 803.72,-,9
,MAZATAN, 63 929.05,475.57, 2 750.97, 60 659.51,-,43
,MOCTEZUMA, 131 828.78, 5 890.39, 4 974.25, 120 648.72,20.92,294.51
,NACO, 86 100.00, 46 583.00,-, 39 517.00,-,-
,NACORI CHICO, 234 953.71, 21 979.65,-, 209 188.54,-, 3 785.52
,NACOZARI DE GARCIA, 173 342.95, 7 267.34,-, 153 293.61, 8 700.00, 4 082.00
,NAVOJOA, 222 609.54, 102 315.08, 1 290.03, 117 923.01,781.79,299.64
,NOGALES, 140 869.31, 14 785.60,-, 107 182.09, 14 401.63, 4 500.00
,ONAVAS, 24 165.37,586.01,187.79, 23 391.56,0.01,-
,OPODEPE, 207 866.22, 14 565.29, 2 764.06, 190 536.87,-,-
,OQUITOA, 75 076.26,289,-, 74 785.25,-,2
,PITIQUITO, 750 382.97, 104 675.25,-, 625 707.73, 20 000.00,-
,PUERTO PE„ASCO, 159 134.03, 43 995.00,-, 93 677.43, 4 450.00, 17 011.60
,QUIRIEGO, 291 824.94, 41 128.45, 4 966.00, 229 757.85,866.7, 15 105.94
,RAYON, 64 005.69,283,30.53, 59 089.38,-, 4 602.77
,ROSARIO, 274 209.50, 13 395.38,35, 239 082.00,-, 21 697.12
,SAHUARIPA, 425 873.59, 28 146.85, 3 562.01, 373 001.25, 2 350.00, 18 813.48
,SAN FELIPE DE JESUS,472.98,83.14,-,389.83,-,-
,SAN JAVIER, 42 182.78, 7 965.00,-, 34 217.78,-,-
,SAN LUIS RIO COLORADO, 69 430.90, 49 786.92,16, 9 934.65, 9 592.33,101
,SAN MIGUEL DE HORCASITAS, 56 298.78, 2 679.85,-, 48 558.71,-, 5 060.21
,SAN PEDRO DE LA CUEVA, 117 124.64, 3 424.77,55, 105 604.88,-, 8 040.00
,SANTA ANA, 132 369.55, 4 161.77,-, 126 285.42, 1 903.00,19.37
,SANTA CRUZ, 87 291.88, 41 733.80,-, 41 996.34,1.74, 3 560.00
,SARIC, 152 573.57, 24 727.50,192, 127 646.06,8,-
,SOYOPA, 80 481.98, 1 324.15,790.19, 78 330.60,-,37.04
,SUAQUI GRANDE, 66 809.85, 9 645.24,-, 57 164.61,-,-
,TEPACHE, 64 145.20, 4 069.21,12.5, 57 282.99,-, 2 780.50
,TRINCHERAS, 249 783.00, 1 341.00,-, 240 642.50, 7 798.00,1.5
,TUBUTAMA, 111 412.74, 9 119.81, 8 789.50, 93 502.43,-,1
,URES, 206 701.70, 3 458.21,683.15, 195 719.66,-, 6 840.68
,VILLA HIDALGO, 97 704.87, 3 755.89,-, 89 948.99,-, 4 000.00
,VILLA PESQUEIRA, 92 118.73, 2 488.85,-, 88 894.88,735,-
,YECORA, 262 556.32, 50 287.93, 5 091.01, 193 386.29,-, 13 791.10
,GENERAL PLUTARCO ELIAS CALLES, 149 820.60, 25 681.81,22, 98 018.41, 21 629.20, 4 469.18
TABASCO,,1 722 717.60, 734 718.03,888.61, 836 298.55, 142 239.06, 8 573.36
,BALANCAN, 298 234.29, 126 780.19,-, 133 599.45, 35 848.41, 2 006.25
,CARDENAS, 121 088.59, 90 167.73,-, 18 244.06, 12 115.76,561.05
,CENTLA, 91 746.49, 28 977.19,-, 62 741.30,-,28
,CENTRO, 123 330.37, 39 299.32,-, 82 329.77,-, 1 701.28
,COMALCALCO, 46 710.34, 20 707.98,-, 25 982.52,-,19.83
,CUNDUACAN, 45 634.95, 18 791.17,-, 26 754.29,-,89.5
,EMILIANO ZAPATA, 43 064.96, 14 768.67,-, 28 294.29,-,2
,HUIMANGUILLO, 310 479.71, 141 338.02,-, 86 366.23, 81 932.26,843.21
,JALAPA, 51 333.46, 6 860.08,-, 44 193.62,-,279.76
,JALPA DE MENDEZ, 28 054.03, 11 966.33,-, 16 037.15,-,50.55
,JONUTA, 101 165.37, 47 118.25,-, 53 958.12,-,89
,MACUSPANA, 174 619.75, 45 732.95,-, 127 836.40,-, 1 050.39
,NACAJUCA, 43 067.49, 17 903.31,888.61, 21 882.80, 2 195.79,196.98
,PARAISO, 17 626.36, 5 835.08,-, 11 227.23,-,564.06
,TACOTALPA, 53 973.32, 25 485.07,-, 28 043.25,-,445
,TEAPA, 34 480.87, 10 770.99,-, 23 404.40,-,305.48
,TENOSIQUE, 138 107.25, 82 215.72,-, 45 403.69, 10 146.85,341
TAMAULIPAS,,5 955 777.80,1 319 192.54, 3 536.90,4 491 147.15, 96 364.60, 45 536.61
,ABASOLO, 146 940.03, 31 064.05,-, 115 270.75,-,605.23
,ALDAMA, 356 089.21, 119 414.14,18.5, 236 403.32,-,253.25
,ALTAMIRA, 112 452.91, 22 157.21,-, 90 014.60,86.61,194.5
,ANTIGUO MORELOS, 41 877.09, 8 813.32,-, 33 040.44,-,23.33
,BURGOS, 134 985.37, 16 216.59,86.01, 118 438.43,-,244.34
,BUSTAMANTE, 25 057.31, 9 694.38,-, 15 358.48,-,4.45
,CAMARGO, 76 274.32, 8 935.72,-, 64 151.50,-, 3 187.10
,CASAS, 242 548.11, 19 820.37,-, 222 676.75,51,-
,CRUILLAS, 139 747.91, 8 452.75,10, 131 285.15,-,-
,GOMEZ FARIAS, 30 049.30, 13 478.85,-, 16 570.45,-,-
,GONZALEZ, 314 328.01, 99 207.13,-, 210 115.43, 3 689.08, 1 316.38
,G_MEZ                                  0, 94 338.15, 32 476.75,-, 61 536.30,-,325.1
,GUERRERO, 223 563.01, 6 338.50,120, 214 623.53,94.98, 2 386.00
,GUSTAVO DIAZ ORDAZ, 37 502.89, 11 441.81,1, 26 027.08,33,-
,HIDALGO, 123 814.48, 58 975.78,6, 64 482.63,345.07,5
,JAUMAVE, 77 298.88, 10 153.32,1, 67 142.56,-,2
,JIMENEZ, 168 214.45, 14 314.83,-, 153 899.62,-,-
,LLERA, 194 868.14, 48 662.83,-, 145 865.09,4,336.21
,MAINERO, 13 718.29, 4 794.38,-, 8 923.91,-,-
,"MANTE,EL", 122 113.68, 98 950.24,6, 23 022.24,-,135.2
,MATAMOROS, 314 266.32, 56 266.38,-, 255 746.26,20, 2 233.68
,MENDEZ, 194 355.46, 62 463.61,-, 127 695.67,-, 4 196.18
,MIER, 87 203.10,-,-, 87 144.43,58.67,-
,MIGUEL ALEMAN, 50 729.52,-,-, 48 961.52,-, 1 768.00
,MIQUIHUANA, 49 143.02, 4 770.50,10.5, 10 381.93, 32 155.09, 1 825.00
,NUEVO LAREDO, 105 707.10, 28 114.00,55, 77 426.35,-,111.75
,NUEVO MORELOS, 20 944.12, 4 394.09,-, 16 476.07,-,73.96
,OCAMPO, 72 632.89, 14 746.06,-, 51 944.33, 5 481.38,461.12
,PADILLA, 81 152.18, 19 489.40,-, 48 287.88,571, 12 803.90
,PALMILLAS, 22 752.08, 1 124.03,-, 21 628.05,-,-
,REYNOSA, 298 732.32, 57 899.68,2, 239 512.14,399,919.5
,RIO BRAVO, 162 010.15, 35 165.11,24, 122 578.57, 2 081.81, 2 160.65
,SAN CARLOS, 224 536.80, 16 783.97,-, 204 716.41, 2 693.00,343.42
,SAN FERNANDO, 576 541.06, 166 461.74, 1 850.03, 391 623.51, 15 653.92,951.87
,SAN NICOLAS, 44 901.04,218.41,-, 44 681.61,-,1.02
,SOTO LA MARINA, 548 500.03, 96 527.42,-, 451 372.62,-,600
,TAMPICO,120,120,-,-,-,-
,TULA, 83 876.97, 22 381.31, 1 143.36, 54 810.80, 5 541.50,-
,VALLE HERMOSO, 68 249.69, 14 564.46,-, 19 833.21, 26 313.07, 7 538.96
,VICTORIA, 98 879.43, 24 470.36,-, 74 354.28,52.79,2
,VILLAGRAN, 100 776.17, 15 294.76,203.5, 84 805.41,-,472.5
,XICOTENCATL, 73 986.83, 34 574.34,-, 38 317.86, 1 039.64,55
TLAXCALA,, 241 210.97, 136 430.29,30.93, 104 389.93,-,359.82
,AMAXAC DE GUERRERO,460.84,-,30.93,429.9,-,-
,APETATITLAN DE ANTONIO CARVAJAL,258.38,-,-,255.27,-,3.11
,ATLANGATEPEC, 5 958.50, 3 215.84,-, 2 741.66,-,1
,ALTZAYANCA, 13 746.53, 7 509.30,-, 6 231.00,-,6.22
,APIZACO, 4 407.36, 2 604.99,-, 1 802.37,-,-
,CALPULALPAN, 14 572.38, 12 092.34,-, 2 473.04,-,7
,"CARMEN TEQUEXQUITLA, EL", 2 951.94, 1 643.73,-, 1 308.21,-,-
,CUAPIAXTLA, 8 149.82, 6 056.62,-, 2 087.70,-,5.5
,CUAXOMULCO, 1 172.55,204.75,-,967.8,-,-
,CHIAUTEMPAN, 3 212.17,845.89,-, 2 254.13,-,112.15
,MU„OZ DE DOMINGO ARENAS, 4 715.24, 3 162.74,-, 1 552.49,-,-
,ESPA„ITA, 7 531.56, 4 254.71,-, 3 274.85,-,2
,HUAMANTLA, 20 703.17, 14 390.27,-, 6 312.90,-,-
,HUEYOTLIPAN, 10 647.93, 7 296.79,-, 3 351.14,-,-
,IXTACUIXTLA DE MARIANO MATAMOROS, 10 974.90, 3 293.35,-, 7 634.56,-,47
,IXTENCO, 4 674.80, 3 868.01,-,806.79,-,-
,MAZATECOCHCO DE JOSE MARIA MORELOS, 2 713.75,215.37,-, 2 498.38,-,-
,CONTLA DE JUAN CUAMATZI, 1 235.77,-,-, 1 235.69,-,0.08
,TEPETITLA DE LARDIZABAL, 1 424.62,515.49,-,908.88,-,0.25
,SANCTORUM DE LAZARO CARDENAS, 9 694.03, 7 797.05,-, 1 896.98,-,-
,NANACAMILPA DE MARIANO ARISTA, 6 809.43, 4 528.81,-, 2 280.62,-,-
,ACUAMANALA DE MIGUEL HIDALGO,665.82,-,-,665.82,-,-
,NATIVITAS, 3 509.21, 2 318.16,-, 1 191.04,-,-
,PANOTLA, 2 341.16,692.59,-, 1 646.62,-,1.95
,SAN PABLO DEL MONTE, 2 181.69,-,-, 2 179.67,-,2.02
,SANTA CRUZ TLAXCALA, 1 769.12,776.32,-,992.79,-,0.02
,TENANCINGO,692.47,-,-,692.47,-,-
,TEOLOCHOLCO, 1 423.81,97.38,-, 1 326.40,-,0.03
